construct_22,attributes_9
Institutional change and path dependence,YE
Regime complex and fragmentation,SJ; SMJ; IIR; HC
Policy integration and coherence,STR; IIR; HC
Inter-agency coordination,HC; IIR
Global Cooperation,HC; IIR
Intermediaries,IIR
Secretariat authority and influence,SoJ; IIR
Rule of Law,SoJ
Norms and soft law,SoJ
Legitimacy,SoJ
Accountability mechanisms,STR
Transparency,STR
Sustainable development and environmental sustainability,DO
Compliance and enforcement,STR
MRV and evaluation,STR
Conflict Resolution,STR
Effectiveness,STR
"Participation, engagement and representation",VC
Equity and intergenerational equity,VC
Partnerships and public–private arrangements,HC
"Learning, innovation and capacity building",STR
Robustness and resilience,STR
