construct_22,n_member_concepts,member_concepts_56,avg_npmi_among_members,max_npmi_among_members
"Learning, innovation and capacity building",3,Capacity Building; Innovation; Learning,0.1678994616804277,0.44277596904501876
Compliance and enforcement,2,Compliance; Enforcement,0.4298152067103518,0.4298152067103518
"Participation, engagement and representation",2,Participation and stakeholder engagement; Representation,0.2270547118465167,0.2270547118465167
Sustainable development and environmental sustainability,2,Environmental Sustainability; Sustainable development and SDGs,0.17513765435537762,0.17513765435537762
Secretariat authority and influence,2,Authority; Treaty secretariats,0.13044603499794255,0.13044603499794255
MRV and evaluation,2,"Monitoring and Evaluation; Monitoring, reporting and verification",0.10715439778216916,0.10715439778216916
Robustness and resilience,2,Resilience; Robustness,0.07789529343124472,0.07789529343124472
Norms and soft law,2,Norms; Soft law,0.009636320298494544,0.009636320298494544
Effectiveness,1,Effectiveness,,
Equity and intergenerational equity,1,Equity and intergenerational equity,,
Conflict Resolution,1,Conflict Resolution,,
Transparency,1,Transparency,,
Accountability mechanisms,1,Accountability mechanisms,,
Legitimacy,1,Legitimacy,,
Institutional change and path dependence,1,Institutional change and path dependence,,
Intermediaries,1,Intermediaries,,
Partnerships and public–private arrangements,1,Partnerships and public–private arrangements,,
Rule of Law,1,Rule of Law,,
Global Cooperation,1,Global Cooperation,,
Policy integration and coherence,1,Policy integration and coherence,,
Regime complex and fragmentation,1,Regime complex and fragmentation,,
Inter-agency coordination,1,Inter-agency coordination,,
