construct_22,category_5,attributes_9
Institutional change and path dependence,Adaptive Capacity,YE
"Learning, innovation and capacity building",Adaptive Capacity,STR
Robustness and resilience,Adaptive Capacity,STR
Compliance and enforcement,Governance Mechanisms,STR
Conflict Resolution,Governance Mechanisms,STR
Effectiveness,Governance Mechanisms,STR
MRV and evaluation,Governance Mechanisms,STR
Policy integration and coherence,Governance Mechanisms,STR; IIR; HC
Sustainable development and environmental sustainability,Governance Mechanisms,DO
Accountability mechanisms,Institutional Framework,STR
Legitimacy,Institutional Framework,SoJ
Norms and soft law,Institutional Framework,SoJ
Rule of Law,Institutional Framework,SoJ
Secretariat authority and influence,Institutional Framework,SoJ; IIR
Transparency,Institutional Framework,STR
Global Cooperation,Inter-Institutional Relations,HC; IIR
Inter-agency coordination,Inter-Institutional Relations,HC; IIR
Intermediaries,Inter-Institutional Relations,IIR
Regime complex and fragmentation,Inter-Institutional Relations,SJ; SMJ; IIR; HC
Equity and intergenerational equity,Stakeholder Engagement,VC
"Participation, engagement and representation",Stakeholder Engagement,VC
Partnerships and public–private arrangements,Stakeholder Engagement,HC
