doc_id,igo_id,igo_name,doc_family,doc_type,filename,source_url,access_date,source_note
DOC_0001,isa,International Seabed Authority,Foundational / legal,Agreement,Agreement-relating-to-the-imp-of-Part-XI-of-UNCLOS.pdf,,,Provided (local copy)
DOC_0002,ifad,International Fund for Agricultural Development (IFAD),Foundational / legal,Agreement,Agreement_IFAD.pdf,,,Provided (local copy)
DOC_0003,brs,"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",Foundational / legal,Convention / treaty,BRS Convention.pdf,,,Provided (local copy)
DOC_0004,cbd,Secretariat of the Convention on Biological Diversity (CBD),Foundational / legal,Convention / treaty,CBD Convention.pdf,,,Provided (local copy)
DOC_0005,cites,Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),Foundational / legal,Convention / treaty,CITES-Convention-EN.pdf,,,Provided (local copy)
DOC_0006,iom,International Organization for Migration (IOM),Foundational / legal,Constitution,Constitution of the International Organization for Migration (1953; rev. 1989).pdf,,,Provided (local copy)
DOC_0007,itu,International Telecommunication Union (ITU),Foundational / legal,Constitution,Constitution of the ITU.pdf,,,Provided (local copy)
DOC_0008,itu,International Telecommunication Union (ITU),Foundational / legal,Convention / treaty,Convention ITU.pdf,,,Provided (local copy)
DOC_0009,cms,Secretariat of the Convention on Migratory Species (CMS),Foundational / legal,Convention / treaty,Convention on the Conservation of Migratory Species of Wild Animals.PDF,,,Provided (local copy)
DOC_0010,iho,International Hydrographic Organization (IHO),Foundational / legal,Convention / treaty,Convention_IHO.pdf,,,Provided (local copy)
DOC_0011,fao,Food and Agriculture Organization of the United Nations (FAO),Foundational / legal,Document,FAO Basic Text.pdf,,,Provided (local copy)
DOC_0012,iaea,International Atomic Energy Agency (IAEA),Foundational / legal,Statute,IAEA Statute.pdf,,,Provided (local copy)
DOC_0013,ices,International Council for the Exploration of the Sea (ICES),Foundational / legal,Convention / treaty,ICES_Convention_1964.pdf,,,Provided (local copy)
DOC_0014,iho,International Hydrographic Organization (IHO),Other / governance instrument,Document,IHO Basic document.pdf,,,Provided (local copy)
DOC_0015,ilo,International Labour Organization (ILO),Foundational / legal,Constitution,ILO Constitution.pdf,,,Provided (local copy)
DOC_0016,imf,International Monetary Fund (IMF),Foundational / legal,Agreement,IMF article of agreement.pdf,,,Provided (local copy)
DOC_0017,imo,Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,Foundational / legal,Convention / treaty,IMO Convention.pdf,,,Provided (local copy)
DOC_0018,isa,International Seabed Authority,Other / governance instrument,Document,International Seabed Authority.pdf,,,Provided (local copy)
DOC_0019,ioc,Intergovernmental Oceanographic Commission (IOC),Foundational / legal,Statute,IOC Statute.pdf,,,Provided (local copy)
DOC_0020,ipcc,IPCC,Other / governance instrument,Procedures / principles,IPCC Principles and Procedures.pdf,,,Provided (local copy)
DOC_0021,unep,United Nations Environment Programme (UNEP),Foundational / legal,Resolution / decision,IPCC — Founding WMO:UNEP resolution(s).pdf,,,Provided (local copy)
DOC_0022,itc,International Trade Centre (ITC),Foundational / legal,Agreement,ITC_ GENERAL AGREEMENT TARIFFS AND TRADE.pdf,,,Provided (local copy)
DOC_0023,minamata,Minamata Convention on Mercury (Minamata),Foundational / legal,Convention / treaty,Minamata-Convention-booklet-Sep2019-EN.pdf,,,Provided (local copy)
DOC_0024,oecd,Organisation for Economic Co-operation and Development (OECD),Foundational / legal,Convention / treaty,OECD Convention.pdf,,,Provided (local copy)
DOC_0025,ipbes,The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),Other / governance instrument,Procedures / principles,Operating PRincinples of IPBES.pdf,,,Provided (local copy)
DOC_0026,ramsar,Ramsar Convention on Wetlands Secretariat (Ramsar),Foundational / legal,Convention / treaty,Ramsar COnvention.pdf,,,Provided (local copy)
DOC_0027,unctad,United Nations Conference on Trade and Development (UNCTAD),Foundational / legal,Rules / regulations,Rules of procedure_UNCTAD.pdf,,,Provided (local copy)
DOC_0028,unhcr_ohchr,"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",Foundational / legal,Statute,Statute of the Office of the UN High Commissioner for Refugees.pdf,,,Provided (local copy)
DOC_0029,un_doalos,Division for Ocean Affairs and the Law of the Sea (UN DOALOS),Other / governance instrument,Document,UN DAOLOS.pdf,,,Provided (local copy)
DOC_0030,unicef,United Nations Children’s Fund (UNICEF),Foundational / legal,Resolution / decision,UN General Assembly resolution creating UNICEF.pdf,,,Provided (local copy)
DOC_0031,ungc,UN Global Compact Office,Other / governance instrument,Document,UN Global Compact.pdf,,,Provided (local copy)
DOC_0032,unfpa,UN Population Fund (UNFPA),Foundational / legal,Resolution / decision,UN Population Fund Resolution.pdf,,,Provided (local copy)
DOC_0033,un_women,UN Entity for Gender Equality and the Empowerment of Women (UN-Women),Foundational / legal,Resolution / decision,UN Women Resolution.pdf,,,Provided (local copy)
DOC_0034,unccd,Secretariat of the United Nations Convention to Combat Desertification (UNCCD),Foundational / legal,Convention / treaty,UNCCD_Convention_ENG_0_0.pdf,,,Provided (local copy)
DOC_0035,unctad,United Nations Conference on Trade and Development (UNCTAD),Foundational / legal,Resolution / decision,UNCTAD Resolution.pdf,,,Provided (local copy)
DOC_0036,undp,United Nations Development Programme (UNDP),Foundational / legal,Resolution / decision,UNDP — UN General Assembly establishing resolution.pdf,,,Provided (local copy)
