table,field,description
step2_corpus_documents,doc_id,Stable document identifier (DOC_####).
step2_corpus_documents,igo_id,Stable IGO identifier (lowercase slug).
step2_corpus_documents,igo_name,IGO name as used in the analysis roster.
step2_corpus_documents,doc_family,"Evidence family (e.g., Foundational/legal; Operational/strategic)."
step2_corpus_documents,doc_type,Instrument type (treaty/constitution/statute/resolution/rules/etc.).
step2_corpus_documents,filename,Local filename in data/raw/igo_documents.
step2_corpus_documents,sha256,SHA-256 file hash to support provenance.
step2_corpus_documents,page_count,Number of pages (PDFs) parsed by PyMuPDF.
step2_corpus_documents,extraction_quality_flag,"Extraction diagnostic flag (e.g., ok; low_text_density; page_load_errors)."
step2_corpus_pages,page_number,1-indexed PDF page number.
step2_corpus_pages,char_count,Character count of extracted page text after cleaning.
step2_corpus_pages,text_sha1,SHA-1 of extracted page text (traceability check).
step2_corpus_paragraphs,para_id,Paragraph unit identifier (doc_id + page + index).
step2_corpus_paragraphs,page_number,Page number on which the paragraph occurs.
step2_corpus_paragraphs,para_text,Paragraph text (cleaned).
