igo_id,igo_name,n_docs,n_pages,n_docs_low_text
brs,"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",1,12.0,0
cbd,Secretariat of the Convention on Biological Diversity (CBD),1,36.0,0
cites,Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),1,16.0,0
cms,Secretariat of the Convention on Migratory Species (CMS),1,6.0,0
fao,Food and Agriculture Organization of the United Nations (FAO),1,245.0,0
iaea,International Atomic Energy Agency (IAEA),1,77.0,0
ices,International Council for the Exploration of the Sea (ICES),1,4.0,0
ifad,International Fund for Agricultural Development (IFAD),1,29.0,0
iho,International Hydrographic Organization (IHO),2,103.0,0
ilo,International Labour Organization (ILO),1,44.0,0
imf,International Monetary Fund (IMF),1,136.0,0
imo,Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,1,102.0,0
ioc,Intergovernmental Oceanographic Commission (IOC),1,41.0,0
iom,International Organization for Migration (IOM),1,84.0,0
ipbes,The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),2,7.0,0
ipcc,IPCC,1,12.0,0
isa,International Seabed Authority,2,146.0,1
itc,International Trade Centre (ITC),1,15.0,0
itu,International Telecommunication Union (ITU),2,156.0,0
minamata,Minamata Convention on Mercury (Minamata),1,72.0,0
oecd,Organisation for Economic Co-operation and Development (OECD),1,14.0,0
ramsar,Ramsar Convention on Wetlands Secretariat (Ramsar),1,116.0,0
unccd,Secretariat of the United Nations Convention to Combat Desertification (UNCCD),1,56.0,0
unctad,United Nations Conference on Trade and Development (UNCTAD),2,140.0,0
undp,United Nations Development Programme (UNDP),1,2.0,0
undrr,United Nations Office for Disaster Risk Reduction (UNDRR),1,12.0,0
unep,United Nations Environment Programme (UNEP),2,8.0,0
unfccc,Climate Change Secretariat,2,35.0,1
unfpa,UN Population Fund (UNFPA),1,2.0,1
ungc,UN Global Compact Office,1,40.0,0
unhcr_ohchr,"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",1,16.0,0
unicef,United Nations Children’s Fund (UNICEF),1,6.0,0
unido,United Nations Industrial Development Organization (UNIDO),1,36.0,0
unodc,United Nations Office on Drugs and Crime (UNODC),1,11.0,0
unoosa,United Nations Office for Outer Space Affairs (UNOOSA),1,2.0,1
unops,United Nations Office for Project Services (UNOPS),1,29.0,1
unrisd,UN Research Institute for Social Development (UNRISD),2,13.0,1
unu,United Nations University (UNU),1,12.0,0
unwto,World Tourism Organization/UN Tourism (UNWTO),2,119.0,0
un_doalos,Division for Ocean Affairs and the Law of the Sea (UN DOALOS),1,9.0,0
un_women,UN Entity for Gender Equality and the Empowerment of Women (UN-Women),1,14.0,0
wbg,World Bank Group (WBG),2,44.0,0
wfp,World Food Programme (WFP),2,82.0,0
who,World Health Organization (WHO),1,146.0,1
wipo,World Intellectual Property Organisation (WIPO),1,11.0,0
wmo,World Meteorological Organization (WMO),1,205.0,0
wto,World Trade Organization (WTO),1,42.0,0
un_habitat,United Nations Human Settlements Programme (UN-Habitat),1,5.0,0
