log_id,timestamp_iso,coder_id,run_id,dictionary_version,tagset_version,export_version,igo,attribute_code_before,indicator_id_before,attribute_code_after,indicator_id_after,evidence_tier,doc_family_inferred,source_title,source_type,source_scope,article_section_page,source_uri,trigger_term,excerpt_<=50w,coder_action,retained_in_longfile,decision_rationale,review_note,trace_key,retrieval_set,attribute_code_final,coder_action_std,tfidf_cosine,retrieval_method
AT-P2-0000002,2024-11-01T08:58:00Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),YE,IND_YE_DATE,YE,IND_YE_DATE,Definition/Identification,Foundational legal instrument,Statutes of the Intergovernmental Oceanographic Commission of UNESCO (IOC Statutes),Statute/Charter,—,—,—,established,Year of establishment specified in the constitutive instrument (treaty/charter/statute/resolution).,Accept,Yes,Attribute definition stored at node to standardise interpretation and prevent construct drift across IGOs.,Definition note recorded in the codebook to anchor retrieval and coding to the theory-informed construct (see Table XX).,c2c13d9f1ef35daae5a856f479ad2531c4816586,attributes,YE,ACCEPT,0.18650937291160458,regex + TF-IDF cosine (ranking)
AT-P2-0000003,2024-11-01T08:59:00Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),YE,IND_YE_DATE,YE,IND_YE_DATE,Explanation/Elaboration,Foundational legal instrument,Statutes of the Intergovernmental Oceanographic Commission of UNESCO (IOC Statutes),Statute/Charter,—,—,—,established,1960.0,Accept,Yes,Narrative explanation recorded to express how the attribute manifests in the IGO using standardised wording tied to the cited substantiation excerpts.,Explanation/Elaboration text corresponds to the final matrix cell narrative; substantiation lines are recorded in linked excerpt rows under the same IGO × attribute.,2d933f2dfccaf7a5808068ccec84a455c04d1f17,attributes,YE,ACCEPT,0.0,regex + TF-IDF cosine (ranking)
AT-P2-0000004,2024-11-01T09:00:00Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),YE,IND_YE_DATE,YE,IND_YE_DATE,Substantiation/References,Foundational legal instrument,Statutes of the Intergovernmental Oceanographic Commission of UNESCO (IOC Statutes),Statute/Charter,—,Not specified (see narrative/citations in cell text),—,established,1960.0,Accept,Yes,Checked for construct fit; retained with source pointer.,Founding instrument evidence: creation date recorded (Not specified (see narrative/citations in cell text)); retained as YE substantiation.,c70a53c36f12266c6c6d81fd5c19a33cb5e6e2de,attributes,YE,ACCEPT,0.0,regex + TF-IDF cosine (ranking)
AT-P2-0000005,2024-11-01T09:00:00Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),YE,IND_YE_DATE,YE,IND_YE_DATE,Substantiation/References,Other/unclear,Foundational/operational source (named in cell),Unspecified (see source_title/source_uri),—,Not specified (see narrative/citations in cell text),—,established,1960.0,Accept,Yes,Substantiates matrix value; citation anchors preserved.,Founding instrument evidence: establishment year captured (Not specified (see narrative/citations in cell text)); value standardised for matrix cell.,16552af8410c8b1b549573cbb306e3cf4472ccb0,attributes,YE,ACCEPT,0.0,regex + TF-IDF cosine (ranking)
AT-P2-0000011,2024-11-01T18:54:16Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SCL,IND_SCALE_GLOBAL,SCL,IND_SCALE_GLOBAL,Substantiation/References,Other/unclear,Foundational/operational source (named in cell),Unspecified (see source_title/source_uri),—,Not specified (see narrative/citations in cell text),—,global,Global,Accept,Yes,Relevant to indicator; retained after contextual read-through.,Founding instrument evidence: mandate reach documented (Not specified (see narrative/citations in cell text)); supports global-layer case definition.,50d4cf168538bb7baf8ff6debc4b3bfa755a3270,scale_gate,SCL,ACCEPT,0.27002604662797214,regex + TF-IDF cosine (ranking)
AT-P2-0000012,2024-11-02T04:28:48Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SCL,IND_SCALE_GLOBAL,SCL,IND_SCALE_GLOBAL,Definition/Identification,Foundational legal instrument,Statutes of the Intergovernmental Oceanographic Commission of UNESCO (IOC Statutes),Statute/Charter,—,—,—,global,"Scale classification indicating global or near‑global mandate (membership reach, ABNJ remit, or multi‑basin uptake).",Accept,Yes,Attribute definition stored at node to standardise interpretation and prevent construct drift across IGOs.,Definition note recorded in the codebook to anchor retrieval and coding to the theory-informed construct (see Table XX).,b35d8e098b12e363a51126927d20ca2e626df9ba,scale_gate,SCL,ACCEPT,0.3879581861171067,regex + TF-IDF cosine (ranking)
AT-P2-0000013,2024-11-02T04:29:48Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SCL,IND_SCALE_GLOBAL,SCL,IND_SCALE_GLOBAL,Explanation/Elaboration,Foundational legal instrument,Statutes of the Intergovernmental Oceanographic Commission of UNESCO (IOC Statutes),Statute/Charter,—,—,—,global,Global,Accept,Yes,Narrative explanation recorded to express how the attribute manifests in the IGO using standardised wording tied to the cited substantiation excerpts.,Explanation/Elaboration text corresponds to the final matrix cell narrative; substantiation lines are recorded in linked excerpt rows under the same IGO × attribute.,f24091074b46134d1aee02c65a145df1ba8a757f,scale_gate,SCL,ACCEPT,0.27002604662797214,regex + TF-IDF cosine (ranking)
AT-P2-0000014,2024-11-02T04:30:48Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SCL,IND_SCALE_GLOBAL,SCL,IND_SCALE_GLOBAL,Substantiation/References,Foundational legal instrument,Statutes of the Intergovernmental Oceanographic Commission of UNESCO (IOC Statutes),Statute/Charter,—,Not specified (see narrative/citations in cell text),—,global,Global,Accept,Yes,Accepted as best available evidence within tiered source hierarchy.,Founding instrument evidence: evidence of multi-basin/ABNJ remit (Not specified (see narrative/citations in cell text)); retained for Scale field.,da5f84091c0099dbb2bb31a9fa20dd3eac3c8032,scale_gate,SCL,ACCEPT,0.27002604662797214,regex + TF-IDF cosine (ranking)
AT-P2-0000015,2024-11-02T04:48:32Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SoJ,IND_SOJ_LEGAL,SoJ,IND_SOJ_LEGAL,Substantiation/References,Foundational legal instrument,"Convention on the Law of the Sea (UNCLOS), which provides the legal basis for its activities related to the oceans and coastal areas ((https://www",Convention,—,Article s,https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf,mandate,"to other organizations​​. The IOC derives its authority from the United Nations Educational, Scientific and Cultural Organization (UNESCO)'s constitution (https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf) . Specifically, the IOC was established by Resolution 2.31 of the UNESCO General Conference at its fifth session in 1960 (https://unesdoc.unesco.org/ark:/48223/pf0000114583). The IOC’s jurisdiction is further defined by its own",Accept,Yes,Checked for construct fit; retained with source pointer.,Founding instrument evidence: legal basis clause captured (Article s); coded as SoJ with citation anchor where available.,42329c725fa5eb535aef47eeb24d471f361acff2,attributes,SoJ,ACCEPT,0.007352642064425704,regex + TF-IDF cosine (ranking)
AT-P2-0000016,2024-11-02T09:45:40Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SoJ,IND_SOJ_LEGAL,SoJ,IND_SOJ_LEGAL,Substantiation/References,Foundational legal instrument,"Convention on the Law of the Sea (UNCLOS), which provides the legal basis for its activities related to the oceans and coastal areas ((https://www",Convention,—,Article s,https://unesdoc.unesco.org/ark:/48223/pf0000114583,mandate,"Specifically, the IOC was established by Resolution 2.31 of the UNESCO General Conference at its fifth session in 1960 (https://unesdoc.unesco.org/ark:/48223/pf0000114583). The IOC’s jurisdiction is further defined by its own statutes and the rules of procedure adopted by its Assembly (https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf). . The IOC operates within the framework of international law,",Accept,Yes,Accepted as best available evidence within tiered source hierarchy.,Founding instrument evidence: legal basis clause captured (Article s); coded as SoJ with citation anchor where available.,945ccaf524416b841a5751f3c6ae371d5bbda8f0,attributes,SoJ,ACCEPT,0.0074030539749238376,regex + TF-IDF cosine (ranking)
