record_id,run_id,dictionary_version,tagset_version,export_version,timestamp_iso,coder_id,coder_action,igo,attribute_code,attribute_label,indicator_id,indicator_label,doc_family_inferred,evidence_tier,source_title,source_type,source_year,source_lang,article_section_page,page_in_pdf,source_uri,excerpt_<=50w,matrix_cell_text_full,coded_value,decision_rationale,review_note,excerpt_full,quoted_or_paraphrased,instrument_title,instrument_type,trace_key,retrieval_set,coder_action_std,attribute_code_final,tfidf_cosine
TLF-V6-000001,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-01T09:00:00Z,IA,Accept,Intergovernmental Oceanographic Commission (IOC),YE,Year of Establishment,IND_YE_DATE,Formal establishment date (legal basis),Foundational legal instrument,Substantiation/References,Statutes of the Intergovernmental Oceanographic Commission of UNESCO (IOC Statutes),Statute/Charter,—,EN,Not specified (see narrative/citations in cell text),—,—,1960.0,1960.0,status=accepted; attribute=YE; indicator=YE_date,Checked for construct fit; retained with source pointer.,Founding instrument evidence: creation date recorded (Not specified (see narrative/citations in cell text)); retained as YE substantiation.,—,—,—,—,c70a53c36f12266c6c6d81fd5c19a33cb5e6e2de,attributes,ACCEPT,YE,0.0
TLF-V6-000002,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-02T04:30:48Z,IA,Accept,Intergovernmental Oceanographic Commission (IOC),SCL,Scale,IND_SCALE_GLOBAL,Global/near-global mandate scale,Foundational legal instrument,Substantiation/References,Statutes of the Intergovernmental Oceanographic Commission of UNESCO (IOC Statutes),Statute/Charter,—,EN,Not specified (see narrative/citations in cell text),—,—,Global,Global,status=accepted; attribute=SCL; indicator=SCL_scale_gate,Accepted as best available evidence within tiered source hierarchy.,Founding instrument evidence: evidence of multi-basin/ABNJ remit (Not specified (see narrative/citations in cell text)); retained for Scale field.,—,—,—,—,da5f84091c0099dbb2bb31a9fa20dd3eac3c8032,scale_gate,ACCEPT,SCL,0.27002604662797214
TLF-V6-000003,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-03T00:01:36Z,IA,Accept,Intergovernmental Oceanographic Commission (IOC),SJ,Spatial Jurisdiction,IND_SJ_SCOPE,Geographic scope and ABNJ/high-seas references,External/website,Substantiation/References,En).,Unspecified (see source_title/source_uri),—,EN,Not specified (see narrative/citations in cell text),—,https://www.ioc.unesco.org/en).,"IOC jurisdiction is global delineated by the boundaries of member states’ exclusive economic zones (EEZs), territorial seas, and extending to the limits of their recognized jurisdiction, whether it be 200 nautical miles for EEZs (https://www.ioc.unesco.org/en).","IOC jurisdiction is global delineated by the boundaries of member states’ exclusive economic zones (EEZs), territorial seas, and  extending to the limits of their recognized jurisdiction, whether it be 200 nautical miles for EEZs  (https://www.ioc.unesco.org/en).",status=accepted; attribute=SJ; indicator=SJ_scope,Relevant to indicator; retained after contextual read-through.,External portal evidence: SJ coded from explicit EEZ/territorial language (Not specified (see narrative/citations in cell text)); retained for spatial scope.,—,—,—,—,5ff2d0b59ec5ab5b285984f073d9f4a352d5e60d,attributes,ACCEPT,SJ,0.04275625000920083
TLF-V6-000004,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-03T19:32:25Z,IA,Accept,Intergovernmental Oceanographic Commission (IOC),SMJ,Subject Matter Jurisdiction,IND_SMJ_DOMAIN,Issue domains and functions within remit,External/website,Substantiation/References,En).,Unspecified (see source_title/source_uri),—,EN,Not specified (see narrative/citations in cell text),—,https://www.ioc.unesco.org/en).,"The IOC's subject matter jurisdiction encompasses global ocean observation and data exchange, marine scientific research, and capacity development to improve management, decision-making, and sustainability of the marine environment. This includes overseeing the implementation of international programs like the Global Ocean Observing System, promoting marine spatial planning, and supporting the application","The IOC's subject matter jurisdiction encompasses global ocean observation and data exchange, marine scientific research, and capacity development to improve management, decision-making, and sustainability of the marine environment. This includes overseeing the implementation of international programs like the Global Ocean Observing System, promoting marine spatial planning, and supporting the application of oceanographic data and services for societal benefits. The IOC also addresses marine pollution, climate change impacts on oceans, and fosters international cooperation for the conservation and sustainable use of ocean resources (https://www.ioc.unesco.org/en).",status=accepted; attribute=SMJ; indicator=SMJ_domain,Relevant to indicator; retained after contextual read-through.,External portal evidence: SMJ coded as issue-domain descriptor (marine/ocean (general)) (Not specified (see narrative/citations in cell text)); separated from governance constructs.,—,—,—,—,f5df9d72495bbf3ff8c13f7ea380aa0d85aea059,attributes,ACCEPT,SMJ,0.09156059223865178
TLF-V6-000005,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-04T15:03:13Z,IA,Accept,Intergovernmental Oceanographic Commission (IOC),SoJ,Source of Jurisdiction,IND_SOJ_LEGAL,Enabling legal instrument and mandate clauses,Foundational legal instrument,Substantiation/References,"statutes, particularly Articles 1 to 6, which outline its establishment, purpose, functions, membership, organizational structure, and relation to other organizations​​",Statute/Charter,—,EN,Articles,—,https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf),"The IOC’s authority is derived from its statutes, particularly Articles 1 to 6, which outline its establishment, purpose, functions, membership, organizational structure, and relation to other organizations​​. The IOC derives its authority from the United Nations Educational, Scientific and Cultural Organization (UNESCO)'s constitution (https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf) . Specifically, the IOC was established","The IOC’s authority is derived from its statutes, particularly Articles 1 to 6, which outline its establishment, purpose, functions, membership, organizational structure, and relation to other organizations​​. The IOC derives its authority from the United Nations Educational, Scientific and Cultural Organization (UNESCO)'s constitution (https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf) . Specifically, the IOC was established by Resolution 2.31 of the UNESCO General Conference at its fifth session in 1960 (https://unesdoc.unesco.org/ark:/48223/pf0000114583). The IOC’s jurisdiction is further defined by its own statutes and the rules of procedure adopted by its Assembly (https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf). . The IOC operates within the framework of international law, particularly the United Nations Convention on the Law of the Sea (UNCLOS), which provides the legal basis for its activities related to the oceans and coastal areas ((https://www.un.org/depts/los/convention_agreements/texts/unclos/unclos_e.pdf) ). The IOC’s mandate is also supported by the UN General Assembly resolution A/RES/72/73 proclaiing the United Nations Decade of Ocean Science for Sustainable Development 2021–2030 (https://documents.un.org/doc/undoc/gen/n17/421/90/pdf/n1742190.pdf?token=kneHbLVHaUpcHqGOQg&fe=trueby).",status=accepted; attribute=SoJ; indicator=SoJ_article,Checked for construct fit; retained with source pointer.,Founding instrument evidence: legal basis clause captured (Articles); coded as SoJ with citation anchor where available.,—,—,—,—,175c822fcc8fcf539559deaef68b74b8159d64eb,attributes,ACCEPT,SoJ,0.0
TLF-V6-000006,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-05T10:34:01Z,IA,Accept,Intergovernmental Oceanographic Commission (IOC),DO,Defined Objectives,IND_DO_OBJECTIVES,Stated objectives/purpose and institutional goals,Foundational legal instrument,Substantiation/References,"statutes, include to: advance the scientific understanding of the nature and resources of the oceans (Article 2, Paragraph a)",Statute/Charter,—,EN,Articles,—,https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf)),"The objectives of the Intergovernmental Oceanographic Commission (IOC), as per Articles 2 and 3 of its statutes, include to: advance the scientific understanding of the nature and resources of the oceans (Article 2, Paragraph a); improve the effectiveness of oceanographic methodologies and techniques (Article 2, Paragraph b); promote and facilitate","The objectives of the Intergovernmental Oceanographic Commission (IOC), as per Articles 2 and 3 of its statutes, include to: advance the scientific understanding of the nature and resources of the oceans (Article 2, Paragraph a); improve the effectiveness of oceanographic methodologies and techniques (Article 2, Paragraph b); promote and facilitate the international study of the ocean for peaceful purposes (Article 3, Paragraph a);  Encourage and assist the establishment and expansion of international cooperation in marine scientific research (Article 3, Paragraph b);  Promote and facilitate the exchange of oceanographic data and information (Article 3, Paragraph c:); 
 Promote and facilitate the dissemination of the results of oceanographic research and the transfer of knowledge resulting from it (Article 3, Paragraph d:); Promote and facilitate the development of the necessary infrastructure for marine scientific research (Article 3, Paragraph e);
Promote and facilitate the training and education of scientists and technical personnel in the field of oceanography (Article 3, Paragraph f). ((https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf))",status=accepted; attribute=DO; indicator=DO_purpose,Accepted as best available evidence within tiered source hierarchy.,Founding instrument evidence: institutional purpose articulated (Articles); coded under DO (distinct from STR).,—,—,—,—,4f2d876c930cb640ebaa83952c32100bf44026a2,attributes,ACCEPT,DO,0.01724244578822154
TLF-V6-000007,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-06T06:04:50Z,IA,Accept,Intergovernmental Oceanographic Commission (IOC),STR,Strategies,IND_STR_INSTRUMENTS,Instrument families and strategy portfolio,External/website,Substantiation/References,"Pf0000381388.Locale=En),",Unspecified (see source_title/source_uri),—,EN,Not specified (see narrative/citations in cell text),—,"https://unesdoc.unesco.org/ark:/48223/pf0000381388.locale=en),","IOC implements its objectives through series of strategic measues including, the Medium-Term Strategy 2022-2029 approved by the b IOC Assembly and Executive Council meetings (https://unesdoc.unesco.org/ark:/48223/pf0000381388.locale=en), providing a roadmap for its goals and activities. Secondly, the IOC’s actions are guided by decisions made during the annual Assembly, which sets the direction","IOC implements its objectives through series of strategic measues including, the  Medium-Term Strategy 2022-2029 approved by the b IOC Assembly and Executive Council meetings  (https://unesdoc.unesco.org/ark:/48223/pf0000381388.locale=en),  providing a roadmap for its goals and activities. Secondly, the IOC’s actions are guided by decisions made during the annual Assembly, which sets the direction for the organization’s work and strategic focus. The current focus includes the Ocean Decade Implementation Plan (https://unesdoc.unesco.org/ark:/48223/pf0000377082), which aims to generate the science needed for a sustainable ocean. Additionally, key strategic decisions are made biennially at IOC Assembly meetings and annually at Executive Council meetings, including the IOC develops biennial budgets and work plans that detail activities, outputs, indicators, and resources for each strategic objective (https://unesdoc.unesco.org/ark:/48223/pf0000375020). These are tailored to the needs of the Member States and the priorities of the global oceanographic community. Significantly, the IOC is tasked by the United Nations General Assembly with leading the implementation of the UN Decade of Ocean Science for Sustainable Development. At the regional level, the IOC’s regional sub-commissions, such as WESTPAC and IOCAFRICA, IOCCARRIBE, IOCINDO also have corresponding Implemetation plans and Ocean decade roadmaps focused on regional engagement and address specific challenges relevant to their areas (https://unesdoc.unesco.org/ark:/48223/pf0000381488).",status=accepted; attribute=STR; indicator=STR_family,Relevant to indicator; retained after contextual read-through.,External portal evidence: strategy instrument evidence captured (Not specified (see narrative/citations in cell text)); classified to 'mixed strategy references' family for STR.,—,—,—,—,43bd7bfc4289d66c4bd7c11029bc77548838323d,attributes,ACCEPT,STR,0.019415904885556882
TLF-V6-000008,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-07T01:35:38Z,IA,Accept,Food and Agriculture Organization of the United Nations (FAO),YE,Year of Establishment,IND_YE_DATE,Formal establishment date (legal basis),Foundational legal instrument,Substantiation/References,Constitution of the Food and Agriculture Organization of the United Nations,Constitution,—,EN,Not specified (see narrative/citations in cell text),—,—,1945.0,1945.0,status=accepted; attribute=YE; indicator=YE_date,Substantiates matrix value; citation anchors preserved.,Founding instrument evidence: establishment year captured (Not specified (see narrative/citations in cell text)); value standardised for matrix cell.,—,—,—,—,19ecaa3aa9b2fa2665ac4db45bb97e4ab1af8762,attributes,ACCEPT,YE,0.0
TLF-V6-000009,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-07T21:06:26Z,IA,Accept,Food and Agriculture Organization of the United Nations (FAO),SCL,Scale,IND_SCALE_GLOBAL,Global/near-global mandate scale,Foundational legal instrument,Substantiation/References,Constitution of the Food and Agriculture Organization of the United Nations,Constitution,—,EN,Not specified (see narrative/citations in cell text),—,—,Global,Global,status=accepted; attribute=SCL; indicator=SCL_scale_gate,Substantiates matrix value; citation anchors preserved.,Founding instrument evidence: global mandate support (membership/remit) captured (Not specified (see narrative/citations in cell text)); used for scale gate/descriptor.,—,—,—,—,755088ecdae748d96e0511e1e16418a2158bb95f,scale_gate,ACCEPT,SCL,0.27002604662797214
TLF-V6-000010,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-08T16:37:15Z,IA,Accept,Food and Agriculture Organization of the United Nations (FAO),SJ,Spatial Jurisdiction,IND_SJ_SCOPE,Geographic scope and ABNJ/high-seas references,External/website,Substantiation/References,),Unspecified (see source_title/source_uri),—,EN,Not specified (see narrative/citations in cell text),—,https://www.fao.org/cwp-on-fishery-statistics/handbook/general-concepts/main-water-areas/en/),"The FAO’s jurisdiction spans a vast array of marine and inland waters, delineated by the boundaries of member states’ exclusive economic zones (EEZs), territorial seas, and inland waters. This includes all ocean spaces and maritime zones under the purview of each member state, extending to the limits of their recognized","The FAO’s jurisdiction spans a vast array of marine and inland waters, delineated by the boundaries of member states’ exclusive economic zones (EEZs), territorial seas, and inland waters. This includes all ocean spaces and maritime zones under the purview of each member state, extending to the limits of their recognized jurisdiction, whether it be 200 nautical miles for EEZs or other specified distances for territorial seas and inland waters (https://www.fao.org/cwp-on-fishery-statistics/handbook/general-concepts/main-water-areas/en/)",status=accepted; attribute=SJ; indicator=SJ_scope,Founding text silent/dated; operational evidence sourced from official portal.,External portal evidence: jurisdictional geography stated (Not specified (see narrative/citations in cell text)); retained for SJ substantiation.,—,—,—,—,b63abc3b286f2545bb8e83108adc47766868e46d,attributes,ACCEPT,SJ,0.028176569186493042
