igo,DO,HC,IIR,SCL,SJ,SMJ,STR,SoJ,VC,YE
Climate Change Secretariat,4,6,5,4,3,3,7,6,3,4
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",4,15,7,4,3,3,7,10,8,4
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,4,12,8,4,3,3,6,7,8,4
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),5,12,9,4,3,3,6,5,4,4
Food and Agriculture Organization of the United Nations (FAO),4,13,8,4,3,3,10,7,10,4
IPCC,4,16,7,4,3,3,9,9,10,4
Intergovernmental Oceanographic Commission (IOC),4,9,11,4,3,3,7,7,11,4
International Atomic Energy Agency (IAEA),5,16,8,4,3,3,8,7,12,4
International Council for the Exploration of the Sea (ICES),4,8,5,4,3,3,10,6,5,4
International Fund for Agricultural Development (IFAD),5,15,7,4,3,3,9,7,11,4
International Hydrographic Organization (IHO),4,15,8,4,3,3,6,7,11,4
International Labour Organization (ILO),5,6,8,4,3,3,8,8,5,4
International Monetary Fund (IMF),4,15,5,4,3,3,6,6,6,4
International Organization for Migration (IOM),4,15,7,4,3,3,8,9,7,4
International Seabed Authority,4,6,6,4,3,3,12,7,3,4
International Telecommunication Union (ITU),4,6,6,4,3,3,8,8,5,4
International Trade Centre (ITC),4,13,4,4,3,3,9,9,6,4
Minamata Convention on Mercury (Minamata),5,15,4,4,3,3,14,8,7,4
Organisation for Economic Co-operation and Development (OECD),5,16,3,4,3,3,9,8,18,4
Ramsar Convention on Wetlands Secretariat (Ramsar),4,12,6,4,3,3,9,7,6,4
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",4,12,8,4,3,3,9,12,6,4
Secretariat of the Convention on Biological Diversity (CBD),4,16,10,4,3,3,14,11,9,4
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),4,18,5,4,3,3,9,11,7,4
Secretariat of the Convention on Migratory Species (CMS),4,15,10,4,3,3,14,9,9,4
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),5,15,5,4,3,3,9,7,5,4
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),4,15,7,4,3,3,15,14,11,4
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),4,10,9,4,3,3,11,11,6,4
UN Global Compact Office,5,16,7,4,3,3,7,11,8,4
UN Population Fund (UNFPA),4,15,5,4,3,3,9,10,9,4
UN Research Institute for Social Development (UNRISD),4,14,9,4,3,3,9,8,6,4
United Nations Children’s Fund (UNICEF),5,17,8,4,3,3,11,9,8,4
United Nations Conference on Trade and Development (UNCTAD),4,7,7,4,3,3,10,7,7,4
United Nations Development Programme (UNDP),5,16,5,4,3,3,8,7,8,4
United Nations Environment Programme (UNEP),6,6,6,4,3,3,8,7,4,4
United Nations Human Settlements Programme (UN-Habitat),4,15,10,4,3,3,5,15,10,4
"United Nations Industrial Development Organization (UNIDO),",4,5,8,4,3,3,9,7,6,4
United Nations Office for Disaster Risk Reduction (UNDRR),5,16,5,4,3,3,9,8,11,4
United Nations Office for Outer Space Affairs (UNOOSA),4,17,7,4,3,3,7,11,6,4
United Nations Office for Project Services (UNOPS),4,15,3,4,3,3,10,12,6,4
United Nations Office on Drugs and Crime (UNODC),4,17,5,4,3,3,9,13,7,4
United Nations University (UNU),4,16,5,4,3,3,9,6,3,4
World Bank Group (WBG),9,16,10,4,3,3,9,13,13,4
World Food Programme (WFP),4,15,4,4,3,3,11,12,8,4
World Health Organization (WHO),4,14,8,4,3,3,8,8,8,4
World Intellectual Property Organisation (WIPO),4,16,8,4,3,3,9,9,5,4
World Meteorological Organization (WMO),5,11,8,4,3,3,10,5,8,4
World Tourism Organization/UN Tourism (UNWTO),4,15,9,4,3,3,11,9,6,4
World Trade Organization (WTO),4,15,10,4,3,3,11,9,9,4
