igo,attribute_code_final,n_evidence_records,n_unique_sources,n_tier_definition,n_tier_explanation,n_tier_substantiation,is_missing_cell
Climate Change Secretariat,DO,4,1,1,1,2,False
Climate Change Secretariat,HC,6,3,1,1,4,False
Climate Change Secretariat,IIR,5,1,1,1,3,False
Climate Change Secretariat,SCL,4,2,1,1,2,False
Climate Change Secretariat,SJ,3,1,1,1,1,False
Climate Change Secretariat,SMJ,3,1,1,1,1,False
Climate Change Secretariat,STR,7,2,1,1,5,False
Climate Change Secretariat,SoJ,6,1,1,1,4,False
Climate Change Secretariat,VC,3,1,1,1,1,False
Climate Change Secretariat,YE,4,2,1,1,2,False
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",DO,4,2,1,1,2,False
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",HC,15,13,1,1,13,False
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",IIR,7,1,1,1,5,False
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",SCL,4,2,1,1,2,False
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",SJ,3,1,1,1,1,False
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",SMJ,3,1,1,1,1,False
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",STR,7,1,1,1,5,False
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",SoJ,10,2,1,1,8,False
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",VC,8,6,1,1,6,False
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",YE,4,2,1,1,2,False
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,DO,4,1,1,1,2,False
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,HC,12,10,1,1,10,False
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,IIR,8,1,1,1,6,False
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,SCL,4,2,1,1,2,False
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,SJ,3,1,1,1,1,False
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,SMJ,3,1,1,1,1,False
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,STR,6,2,1,1,4,False
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,SoJ,7,1,1,1,5,False
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,VC,8,6,1,1,6,False
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,YE,4,2,1,1,2,False
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),DO,5,2,1,1,3,False
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),HC,12,9,1,1,10,False
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),IIR,9,1,1,1,7,False
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),SCL,4,2,1,1,2,False
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),SJ,3,1,1,1,1,False
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),SMJ,3,1,1,1,1,False
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),STR,6,1,1,1,4,False
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),SoJ,5,1,1,1,3,False
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),VC,4,2,1,1,2,False
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),YE,4,2,1,1,2,False
Food and Agriculture Organization of the United Nations (FAO),DO,4,1,1,1,2,False
Food and Agriculture Organization of the United Nations (FAO),HC,13,11,1,1,11,False
Food and Agriculture Organization of the United Nations (FAO),IIR,8,1,1,1,6,False
Food and Agriculture Organization of the United Nations (FAO),SCL,4,2,1,1,2,False
Food and Agriculture Organization of the United Nations (FAO),SJ,3,1,1,1,1,False
Food and Agriculture Organization of the United Nations (FAO),SMJ,3,1,1,1,1,False
