filename,meta_title,meta_author,title_guess,author_guess,doi_guess,doc_id,is_pilot,title_for_citation,authors_for_citation,doi_for_citation,title_clean,title_guess_ok,citation_note
 Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,,,A Foundation for the Future,,,1074886df7,True,Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective,,,Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
 INTERGOVERNMENTAL ORGANIZATIONS (IGOS) AND THEIR ROLES AND ACTIVITIES IN SECURITY ECONOMY HEALTH AND ENVIRONMENT_Eref.pdf,,,The Journal of International Social Research,INTERGOVERNMENTAL ORGANIZATIONS (IGOS) AND THEIR ROLES AND ACTIVITIES IN,,74debaead2,True,INTERGOVERNMENTAL ORGANIZATIONS (IGOS) AND THEIR ROLES AND ACTIVITIES IN SECURITY ECONOMY HEALTH AND ENVIRONMENT Eref,,,INTERGOVERNMENTAL ORGANIZATIONS (IGOS) AND THEIR ROLES AND ACTIVITIES IN SECURITY ECONOMY HEALTH AND ENVIRONMENT Eref,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
 International Organizations and the Global Environment_Hannes;Stephan & Zelli - 2007.pdf,Stephan & Zelli - IO-Chapter,Fariborz Zelli,International Organizations and the Global Environment,"Stephan, Hannes; Zelli, Fariborz",,e19923cb3f,True,International Organizations and the Global Environment Hannes;Stephan & Zelli - 2007,,,International Organizations and the Global Environment Hannes;Stephan & Zelli - 2007,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
A Changing United Nations_Multilateral Evolution and the Quest for Global Governance.pdf,"In the Web of Politics: Three Decades of the U.S. Federal Executive. By Joel D. Aberbach and Bert A. Rockman. Washington, DC: Brookings Institution Press, 2000. 230p. $42.95 cloth, $17.95 paper.",Karen M. Hult,It is unusual to see such sophisticated conceptual and theoretical work in combination with detailed case studies. It is,editors and contributors appear to have worked so closely,10.1017/S000305540040081X,1f3f5e0540,True,A Changing United Nations Multilateral Evolution and the Quest for Global Governance,,10.1017/S000305540040081X,A Changing United Nations Multilateral Evolution and the Quest for Global Governance,False,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
A World Environment Organization_Solution.pdf,A World Environment Organization: Solution or Threat for Effective International Environmental Governance by Frank Biermann and Steffen Bauer,,© 2006 The Authors. Journal compilation © 2006 Blackwell Publishing Ltd.,"Rather, such decisions, when made",10.1111/j.1467-9388.2006.516_3.x,fbf4c343ac,True,A World Environment Organization Solution,,10.1111/j.1467-9388.2006.516_3.x,A World Environment Organization Solution,False,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
A typology of board design for highly effective monitoring in intergovernmental_Federo.pdf,A typology of board design for highly effective monitoring in intergovernmental organizations under the United Nations system,,A typology of board design for highly effective monitoring,"Department of Strategy and General Management, ESADE Business School, Ramon Llull University, Barcelona, Spain",10.1111/rego.12216,3ba13acb18,True,A typology of board design for highly effective monitoring in intergovernmental Federo,,10.1111/rego.12216,A typology of board design for highly effective monitoring in intergovernmental Federo,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Accountability in International Governance and the 2030 Development Agenda.pdf,Accountability in International Governance and the 2030 Development Agenda,,Accountability in International Governance and,Columbia University and United Nations – Committee for Development Policy,10.1111/1758-5899.12322,4ab5160440,True,Accountability in International Governance and the 2030 Development Agenda,,10.1111/1758-5899.12322,Accountability in International Governance and the 2030 Development Agenda,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
An Unfinished Foundation_The United Nations and Global Environmental Governance_Ken Conca.pdf,S1537592716003406 1183..1279,,have been considered largely irrelevant in the discipline of,"units.” Among the four cases examined, the contemporary",10.1017/S1537592716003923,770906bcde,True,An Unfinished Foundation The United Nations and Global Environmental Governance Ken Conca,,10.1017/S1537592716003923,An Unfinished Foundation The United Nations and Global Environmental Governance Ken Conca,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Assessing the effectiveness of intergovernmental organisations in international environmental politics.pdf,doi:10.1016/S0959-3780(03)00025-6,,Global Environmental Change 14 (2004) 189–193,,10.1016/S0959-3780(03)00024-4,17e1abee71,True,Assessing the effectiveness of intergovernmental organisations in international environmental politics,,10.1016/S0959-3780(03)00024-4,Assessing the effectiveness of intergovernmental organisations in international environmental politics,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Autonomous Institutional Arrangements in Multilateral Environmental Agreements_ A Little-Noticed Phenomenon in International Law.pdf,Autonomous Institutional Arrangements in Multilateral Environmental Agreements: A Little-Noticed Phenomenon in International Law,,Autonomous Institutional Arrangements in Multilateral Environmental Agreements: A,Author(s): Robin R. Churchill and  Geir Ulfstein,,c3b435475a,True,Autonomous Institutional Arrangements in Multilateral Environmental Agreements A Little-Noticed Phenomenon in International Law,,,Autonomous Institutional Arrangements in Multilateral Environmental Agreements A Little-Noticed Phenomenon in International Law,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Befogged vision- International environmental governance a decade after Rio.pdf,Befogged Vision: International Environmental Governance a Decade After Rio,Nicholas A. Robinson,William & Mary Environmental Law and Policy Review,William & Mary Environmental Law and Policy Review,,5a0e8b2ef8,True,Befogged vision- International environmental governance a decade after Rio,,,Befogged vision- International environmental governance a decade after Rio,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Critical Choices_The United Nations_Networks and the Future of Global Governance.pdf,0889369216.pdf,,,,,1adce88825,True,Critical Choices The United Nations Networks and the Future of Global Governance,,,Critical Choices The United Nations Networks and the Future of Global Governance,False,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics.pdf,,,"Time and again, politicians and practitioners debate organizational reform in",analyses the activities of international organizations and their effects in world,,030790bead,True,Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics,,,Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Engaging the Public and the Private in Global Sustainability Governance.pdf,Microsoft Word - Abbott CH-IA paper 11-11.docx,Kenneth Abbott,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/228149327",Engaging the Public and the Private in Global Sustainability Governance,10.2139/ssrn.1966730,f24c9f0e60,True,Engaging the Public and the Private in Global Sustainability Governance,,10.2139/ssrn.1966730,Engaging the Public and the Private in Global Sustainability Governance,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Environmental policy integration and the architecture of global environmental governance.pdf,,,Environmental policy integration and the architecture,,10.1007/s10784-009-9111-0,5d0ad44762,True,Environmental policy integration and the architecture of global environmental governance,,10.1007/s10784-009-9111-0,Environmental policy integration and the architecture of global environmental governance,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Epistemic Communities_Constructivism_and International Environmental Politics.pdf,"EPISTEMIC COMMUNITIES, CONSTRUCTIVISM, AND INTERNATIONAL ENVIRONMENTAL POLITICS",Peter M. Haas,"Downloaded by [University of California, San Diego] at 23:44 01 May 2017","Epistemic Communities, Constructivism, and International Environmental Politics brings",,993ffa6724,True,Epistemic Communities Constructivism and International Environmental Politics,,,Epistemic Communities Constructivism and International Environmental Politics,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
From norms to programs_The United Nations Global Compact and global governance_ Berliner2012.pdf,From norms to programs: The United Nations Global Compact and global governance,,From norms to programs: The United,Nations Global Compact and global,10.1111/j.1748-5991.2012.01130.x,04d0f880f8,True,From norms to programs The United Nations Global Compact and global governance Berliner2012,,10.1111/j.1748-5991.2012.01130.x,From norms to programs The United Nations Global Compact and global governance Berliner2012,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Global Environmenetal Institutions.pdf,Global Environmental Institutions,Elizabeth R. DeSombre,"Global warming, the ozone hole, toxic chemicals, endangered species – such",,,86872ebe75,True,Global Environmenetal Institutions,,,Global Environmenetal Institutions,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Global Environmental Commons_Analytical and Political Challenges in Building Governance Mechanisms.pdf,"Global Environmental Commons: Analytical and Political Challenges in Building Governance Mechanisms, edited by Eric Brousseau, Tom Dedeurwaerdere, Pierre‐André Jouvet, and Marc Willinger. 2012. New York: Oxford University Press. 435 + xxiii. ISBN 978‐0‐19‐965620‐2, $110.",,"The Oxford Handbook of Urban Economics and Planning, edited by Nancy","Brooks, Kieran Donaghy, and Gerrit-Jan Knaap. Review by Roger Bolton . . . . . . . .",10.1111/jors.12036,41bbf9a06b,False,Global Environmental Commons Analytical and Political Challenges in Building Governance Mechanisms,,10.1111/jors.12036,Global Environmental Commons Analytical and Political Challenges in Building Governance Mechanisms,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Global Environmental Degradation and International Organizations.pdf,Global Environmental Degradation and International Organizations,,Global Environmental Degradation and International Organizations,", Jul., 1990, Vol. 11, No. 3, Global Policy Studies/L'analyse des politiques mondiales",,d1f77d7e18,False,Global Environmental Degradation and International Organizations,,,Global Environmental Degradation and International Organizations,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Global Environmental Governance_Taking stock_Moving Forward_Biermann_Pattberg2008.pdf,"Global Environmental Governance: Taking Stock, Moving Forward",Frank Biermann and Philipp Pattberg,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/228203186","Global Environmental Governance: Taking Stock, Moving Forward",10.1146/annurev.environ.33.050707.085733,b9022f6f22,False,Global Environmental Governance Taking stock Moving Forward Biermann Pattberg2008,,10.1146/annurev.environ.33.050707.085733,Global Environmental Governance Taking stock Moving Forward Biermann Pattberg2008,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Global Networks and International Environmental Lawmaking_ A Disc.pdf,Global Networks and International Environmental Lawmaking: A Discourse Approach,Asher Alkoby,Chicago Journal of International Law,,,843b5cf07f,False,Global Networks and International Environmental Lawmaking A Disc,,,Global Networks and International Environmental Lawmaking A Disc,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Global adaptation governance_how intergovernmental organizations mainstream climate change adaptation.pdf,Global adaptation governance: how intergovernmental organizations mainstream climate change adaptati,,ISSN: (Print) (Online) Journal homepage: www.tandfonline.com/journals/tcpo20,,10.1080/14693062.2021.1927661,0bcd315a6f,True,Global adaptation governance how intergovernmental organizations mainstream climate change adaptation,,10.1080/14693062.2021.1927661,Global adaptation governance how intergovernmental organizations mainstream climate change adaptation,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Global environmental governance and the accountability trap.pdf,gle2104r 154..160,,"Park, Susan, and Teresa Kramarz, editors. 2019. Global Environmental Governance and the","Accountability Trap. Cambridge, MA: The MIT Press.",,8082df6e36,False,Global environmental governance and the accountability trap,,,Global environmental governance and the accountability trap,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
Global governance and the environment.pdf,,,"Michele M. Betsill, Kathryn Hochstetler",,,351265da1d,False,Global governance and the environment,,,Global governance and the environment,True,Title derived from file name; DOI extracted heuristically from first 2 pages where detectable (manual verification recommended).
