run_id,hit_id,filename,page_in_pdf,seed_theme,retrieval_type,similarity_score,excerpt_snippet,para_text_full,relevance_score,action_suggested,action_final,final_theme,evidence_tier,reviewer_note_draft,reviewer_id,review_round,doc_id,title,authors,doi
stage2_pass1_20260125T232013Z,P1K000000, Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,5,Participation,keyword,,nd Function in Historical Perspective 45 Maria Ivanova 4 Economy: The Economic Problem of Sustainable Governance 73 Andrew Simms 5 Society: **Participation** and Engagement 90 Maria Figueroa Küpçü Part 2 The ‘WEHAB’ Issues 109 6 Water: Water and Governance 111 Alan W. Hall,"Contents List of Figures, Tables and Boxes vii List of Contributors ix Foreword xiii Acknowledgements xiv List of Acronyms and Abbreviations xv Introduction 1 1 Introduction: Setting the Scene 3 Rosalie Callway 2 Outcomes from the World Summit for Sustainable Development 14 Georgina Ayre and Rosalie Callway Part 1 The Three Pillars of Sustainability 43 3 Environment: The Path of Global Environmental Governance – Form and Function in Historical Perspective 45 Maria Ivanova 4 Economy: The Economic Problem of Sustainable Governance 73 Andrew Simms 5 Society: **Participation** and Engagement 90 Maria Figueroa Küpçü Part 2 The ‘WEHAB’ Issues 109 6 Water: Water and Governance 111 Alan W. Hall",1,SUGGEST_REVIEW,PENDING,,Substantiation/References,Draft memo: candidate hit for participation may be generic usage; confirm relevance or mark as noise/false positive.,,Pilot Pass 1 (seed-only),1074886df7,Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective,,
stage2_pass1_20260125T232013Z,P1K000001, Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,7,Capacity Building,keyword,,Plan of Implementation references to partnerships 24 2.4 Johannesburg Plan of Implementation references to institutional strengthening and **capacity-building** 26 2.5 Johannesburg Plan of Implementation references to integrated management and the ecosystems approach 27 2.6 Johannesburg Plan of Implementation references on legal and regulatory frameworks 28,"List of Figures, Tables and Boxes Figures 9.1 Rates of undernourishment across the globe 166 Tables 2.1 World Summit on Sustainable Development (WSSD) time-bound targets 17 2.2 Multi-year Programme of Work of the UN Commission on Sustainable Development (CSD) 36 3.1 Institutional barriers to effective governance: Examples from global problems 60 3.2 Examples of best practices in environmental governance 61 5.1 Key agencies highlighted in WEHAB papers by specific theme 98 Boxes 1.1 Conclusions from the original Governance for a Sustainable Future report 5 1.2 Governance recommendations 7 2.1 Structure of the Johannesburg Plan of Implementation 16 2.2 Examples of commitments at the World Summit on Sustainable Development (WSSD) 21 2.3 Key Johannesburg Plan of Implementation references to partnerships 24 2.4 Johannesburg Plan of Implementation references to institutional strengthening and **capacity-building** 26 2.5 Johannesburg Plan of Implementation references to integrated management and the ecosystems approach 27 2.6 Johannesburg Plan of Implementation references on legal and regulatory frameworks 28",5,SUGGEST_REVIEW,PENDING,,Substantiation/References,Draft memo: paragraph contains capacity building language and discusses institutional design/coordination; confirm conceptual alignment with the theme definition.,,Pilot Pass 1 (seed-only),1074886df7,Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective,,
stage2_pass1_20260125T232013Z,P1K000002, Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,9,Environmental Sustainability,keyword,,"holder processes. She recently joined the UK Department of the Environment, Food and Rural Affairs (DEFRA), and is predominantly working on **environmental sustainability** within the United Nations system. Ros ... alie Callway is international policy officer at the Local Government International Bureau (LGIB). Her role addresses the ways local government contributes to sustainability and international development. She pr","List of Contributors Georgina Ayre is a policy adviser on sustainable development, with a particular expertise in international governance and multi-stakeholder processes. She recently joined the UK Department of the Environment, Food and Rural Affairs (DEFRA), and is predominantly working on **environmental sustainability** within the United Nations system. Rosalie Callway is international policy officer at the Local Government International Bureau (LGIB). Her role addresses the ways local government contributes to sustainability and international development. She provides policy analysis, advice and information on international polices of relevance to local government. Rosalie has been working on sustainable development and environmental issues for over ten years. Previously she was head of policy at Stakeholder Forum, where her work focused on the Johannesburg World Summit on Sustainable Development. She also managed the Global Governance Programme where the concept for this book was first developed. She has a BSc in environmental economics and management from the University of York and a Master’s degree from the University of Warwick in ecosystems analysis and governance. Andrew M. Deutz has extensive experience in international environmental law, policy and negotiation, as well as in international conservation and development. He is currently working with the World Conservation Union (IUCN) as their special adviser for global policy, responsible for IUCN’s engagement with the United Nations, the World Bank and a variety of other multilateral institutions dealing with sustainable development. Previously within IUCN he served as head of IUCN’s Canada Office, with responsibility for political, constituency and fundraising relations in Canada; as international forest policy adviser to the World Bank, facilitating a globe-spanning, two-year review and public consultation process on forest policy and poverty alleviation; and as coordinator of IUCN’s Temperate and Boreal Forest Programme, establishing IUCN’s forest conservation programme in Russia. Prior to joining IUCN in 1997, Dr Deutz was a research associate at the Woods Hole Research Centre, working on the Kyoto Protocol negotiations on climate change, as well as on international forest policy and the Convention on Biological Diversity (CBD). He holds a doctorate in international environmental law from the Fletcher School of Law and Diplomacy.",1,SUGGEST_REVIEW,PENDING,,Substantiation/References,Draft memo: candidate hit for environmental sustainability may be generic usage; confirm relevance or mark as noise/false positive.,,Pilot Pass 1 (seed-only),1074886df7,Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective,,
stage2_pass1_20260125T232013Z,P1K000003, Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,10,Participation,keyword,,"tlements (UNCHS). She co-founded the international non-governmental organization (NGO) Youth for Habitat II and helped to foster the active **participation** of young people in the UN global conferences, includ ... ing the United Nations Social Summit (Copenhagen, 1995) and the United Nations Habitat II Conference (Istanbul, 1996). Maria’s contributions and comments have appeared in various international media, such x Gov","Alan W. Hall is the network coordinator for the Global Water Partnership (GWP). He has worked in water-related development for 30 years, mainly in Africa and Asia. His work has involved consultancy, research and project management on rural development and irrigated agriculture, as well as water resources management. He was a principal project officer with the African Development Bank in Abidjan for six years, covering project and policy work throughout Africa. During the 1990s he was the group manager for a research programme for international development at HR Wallingford Ltd focused on water resources. In 1999 he led a team for the Global Water Partnership to develop the Framework for Action presented at the second World Water Forum in The Hague in 2000. From this he established the Dialogue on Effective Water Governance. This dialogue was carried out by GWP, with support from the United Nations Development Programme (UNDP) and the International Council for Local Environmental Initiatives (ICLEI), throughout the GWP network, and has helped to create a different way of thinking among water professionals. Maria Ivanova is the director of the Global Environmental Governance Project at the Yale Center for Environmental Law and Policy. Her work focuses on international institutions and organizations, environmental policy at the national and global levels, and global governance. She is the co-editor, with Daniel Esty, of Global Environmental Governance: Options and Opportunities (Yale School of Forestry and Environmental Studies, 2002) and author and co-author of articles and chapters on governance, globalization and the environment. She has delivered talks at many international conferences and lectured at universities. A Bulgarian national, Maria received a Bachelor’s degree in European policy from Mount Holyoke College (summa cum laude) and Master’s degrees in environmental management and international relations from Yale University. She is currently a doctoral candidate at the Yale School of Forestry and Environmental Studies where she is writing on the development of the international environmental regime with a focus on the United Nations Environment Programme (UNEP). Maria has worked at the Environment Directorate of the Organisation for Economic Cooperation and Development (OECD) in Paris on environmental regulatory reform in the New Independent States of the Former Soviet Union. She was also a project manager at the Swedish Environmental Protection Agency in Stockholm, where she developed policies for water quality standard-setting in the Russian Federation. Maria Figueroa Küpçü specializes in strategic market research and the development of political and corporate advocacy campaigns. She has worked as a senior director at the consulting firm Penn, Schoen and Berland Associates, the Council on Foreign Relations and several United Nations agencies, including the UNDP and the United Nations Centre for Human Settlements (UNCHS). She co-founded the international non-governmental organization (NGO) Youth for Habitat II and helped to foster the active **participation** of young people in the UN global conferences, including the United Nations Social Summit (Copenhagen, 1995) and the United Nations Habitat II Conference (Istanbul, 1996). Maria’s contributions and comments have appeared in various international media, such x Governance for Sustainable Development",5,SUGGEST_REVIEW,PENDING,,Explanation/Elaboration,Draft memo: paragraph contains participation language and discusses institutional design/coordination; confirm conceptual alignment with the theme definition.,,Pilot Pass 1 (seed-only),1074886df7,Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective,,
stage2_pass1_20260125T232013Z,P1K000004, Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,12,Accountability,keyword,,"New Economics Foundation (NEF), on climate change, globalization and localization, development issues, debt and ecological debt, corporate **accountability**, and genetic engineering and food security. They in ... clude Who Owes Who? Climate Change, Debt, Equity and Survival (2002); Up in Smoke – Threats From and Responses to the Impact of Global Warming on Human Development (2005); Collision Course – Free Trade’s Free R","Andrew Simms is policy director and head of the Climate Change Programme at the New Economics Foundation (NEF), a board member of Greenpeace, UK, and at The Energy and Resources Institute (TERI), Europe. Previously, he led campaigns for Christian Aid for four years and was one of the original campaigners for the Jubilee 2000 Coalition debt campaign. He has worked for a variety of development and environmental organizations, including Oxfam, the World Development Movement and the International Institute for Environment and Development (IIED), and was national youth speaker for the Green party and an adviser to Michael Meacher as shadow overseas development minister. His publications include several reports published by New Economics Foundation (NEF), on climate change, globalization and localization, development issues, debt and ecological debt, corporate **accountability**, and genetic engineering and food security. They include Who Owes Who? Climate Change, Debt, Equity and Survival (2002); Up in Smoke – Threats From and Responses to the Impact of Global Warming on Human Development (2005); Collision Course – Free Trade’s Free Ride on the Global Climate (2005); The Price of Power – Poverty, Climate Change, the Coming Energy Crisis and the Renewable Revolution (2004); and Free Riding on the Climate – The Possibility of Legal, Economic and Trade Restrictive Measures to Tackle Inaction on Global Warming (2003). He has been a regular contributor to the International Red Cross’s annual World Disasters Report. His book Ecological Debt – The Health of the Planet and the Wealth of Nations is published by Pluto Press (2005). xii Governance for Sustainable Development",2,SUGGEST_REVIEW,PENDING,,Substantiation/References,Draft memo: candidate hit for accountability may be generic usage; confirm relevance or mark as noise/false positive.,,Pilot Pass 1 (seed-only),1074886df7,Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective,,
stage2_pass1_20260125T232013Z,P1K000005, Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,12,Equity,keyword,,"and ecological debt, corporate accountability, and genetic engineering and food security. They include Who Owes Who? Climate Change, Debt, **Equity** and Survival (2002); Up in Smoke – Threats From and Respons ... es to the Impact of Global Warming on Human Development (2005); Collision Course – Free Trade’s Free Ride on the Global Climate (2005); The Price of Power – Poverty, Climate Change, the Coming Energy Crisis and","Andrew Simms is policy director and head of the Climate Change Programme at the New Economics Foundation (NEF), a board member of Greenpeace, UK, and at The Energy and Resources Institute (TERI), Europe. Previously, he led campaigns for Christian Aid for four years and was one of the original campaigners for the Jubilee 2000 Coalition debt campaign. He has worked for a variety of development and environmental organizations, including Oxfam, the World Development Movement and the International Institute for Environment and Development (IIED), and was national youth speaker for the Green party and an adviser to Michael Meacher as shadow overseas development minister. His publications include several reports published by New Economics Foundation (NEF), on climate change, globalization and localization, development issues, debt and ecological debt, corporate accountability, and genetic engineering and food security. They include Who Owes Who? Climate Change, Debt, **Equity** and Survival (2002); Up in Smoke – Threats From and Responses to the Impact of Global Warming on Human Development (2005); Collision Course – Free Trade’s Free Ride on the Global Climate (2005); The Price of Power – Poverty, Climate Change, the Coming Energy Crisis and the Renewable Revolution (2004); and Free Riding on the Climate – The Possibility of Legal, Economic and Trade Restrictive Measures to Tackle Inaction on Global Warming (2003). He has been a regular contributor to the International Red Cross’s annual World Disasters Report. His book Ecological Debt – The Health of the Planet and the Wealth of Nations is published by Pluto Press (2005). xii Governance for Sustainable Development",2,SUGGEST_REVIEW,PENDING,,Substantiation/References,Draft memo: candidate hit for equity may be generic usage; confirm relevance or mark as noise/false positive.,,Pilot Pass 1 (seed-only),1074886df7,Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective,,
stage2_pass1_20260125T232013Z,P1K000006, Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,17,Participation,keyword,,l Environmental Agreement MoU memorandum of understanding MSD multi-stakeholder dialogue MSF Médecins Sans Frontières MSP multi-stakeholder **participation**/process NAAEC North American Agreement on Environme ... ntal Cooperation NAFTA North American Free Trade Agreement NARS national agricultural research systems NCD non-communicable disease NCSD national committee (or council) for sustainable development NEAP national,IOC International Oceanographic Commission IOMC Inter-organization Programme for the Sound Management of Chemicals IPCC Intergovernmental Panel on Climate Change IPF Intergovernmental Panel on Forests IPM integrated pest management IRENA International Renewable Energy Agency ISEF International Sustainable Energy Fund ISEO International Sustainable Energy Organisation IUCN World Conservation Union IULA International Union of Local Authorities IWRM integrated water resource management JBIC Japanese Bank for International Cooperation JPOI Johannesburg Plan of Implementation LA21 Local Agenda 21 LEHAP Local Environment and Health Action Plan LGIB Local Government International Bureau LPP Livestock Production Programme (UK) MDB multilateral development bank MDG Millennium Development Goal MEA Multilateral Environmental Agreement MoU memorandum of understanding MSD multi-stakeholder dialogue MSF Médecins Sans Frontières MSP multi-stakeholder **participation**/process NAAEC North American Agreement on Environmental Cooperation NAFTA North American Free Trade Agreement NARS national agricultural research systems NCD non-communicable disease NCSD national committee (or council) for sustainable development NEAP national environmental action plan NEF New Economics Foundation NEHAP national environmental health action plan NEPAD New Plan for African Development NGO non-governmental organization NPT Nuclear Non-proliferation Treaty NRG4SD Network of Regional Governments for Sustainable Development NSSD national strategies for sustainable development OAU Organization for African Unity ODA Official Development Assistance OECD Organisation for Economic Co-operation and Development OPIC US Overseas Private Investment Corporation PA21 Philippine Agenda 21 PCB polychlorinated biphenyl PCSD Philippine Council for Sustainable Development PIC Prior Informed Consent List of Acronyms and Abbreviations xvii,4,SUGGEST_REVIEW,PENDING,,Substantiation/References,Draft memo: paragraph contains participation language and discusses institutional design/coordination; confirm conceptual alignment with the theme definition.,,Pilot Pass 1 (seed-only),1074886df7,Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective,,
stage2_pass1_20260125T232013Z,P1K000007, Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,22,Transparency,keyword,,"zation (WTO) and other bodies, such as the Organisation for Economic Co-operation and Development (OECD). It calls for an increase in their **transparency** and strengthening of the democratic frameworks, and u ... rges these bodies to take greater account of the social and environmental implications of their policy-making. It argues for greater coordination across policy areas, as well as better enforcement of non-econom","4 Governance for Sustainable Development In order to address such challenges, WHAT established three special commissions, aptly named the WHAT commissions, to examine the current institutional frameworks of three natural resource topics: water, biodiversity and agriculture, and fisheries. A varied group of international academics, scientists and political analysts gathered together and were asked to assess to what degree the governance systems within these sectors supported or restricted the sustainable utilization of natural resources. They were further invited to propose mechanisms to enhance the governance frameworks. The final results of the three working commissions were presented in a single report in 2000, Governance for a Sustainable Future. Many of the barriers to good governance are probably just as relevant now as they were when the report was first published (see Box 1.1). Governance for a Sustainable Future (WHAT, 2000) makes a series of recommendations for strengthening the global governance architecture and for enhancing the national governance of natural resources (see Box 1.2). Perhaps the most critical recommendation of the report is a twofold requirement: the urgent need for greatly enhanced horizontal and vertical mechanisms of governance. The report noted that institutions at the same level (local, national and international) continue to work in their sectoral silos without adequately taking into account the areas where their work interlinks and impacts on other sectors. This silo mentality undermines the sustainable management of resources, which requires a joined-up or integrated management approach, and necessitates the involvement of a range of institutions and interest groups for their effective use, protection and improvement. Similarly, the report argues that overtly ‘vertical’ governance systems continue to adopt a predominately top-down system of decision-making without allowing mechanisms of feedback and learning from the ‘bottom’ or local level. It calls for greater emphasis on drawing from local experiences and the local impacts of global and national policies, as well as enabling more flexible and locally appropriate interpretation of those decisions. Globally Governance for a Sustainable Future (WHAT, 2000) identifies the lack of democratic frameworks in key international institutions, including the International Monetary Fund (IMF), the World Bank, the World Trade Organization (WTO) and other bodies, such as the Organisation for Economic Co-operation and Development (OECD). It calls for an increase in their **transparency** and strengthening of the democratic frameworks, and urges these bodies to take greater account of the social and environmental implications of their policy-making. It argues for greater coordination across policy areas, as well as better enforcement of non-economic international treaties, such as the Multilateral Environmental Agreements (MEAs). It notes the heavy domination of Western policy-makers and economic paradigms that fail to take account of the complex problems of natural resource management or support for sustainable solutions. A new global ethic and citizen movement is required; but this ethic remains hard to define and promote. Such an ethic would need to be based on widespread public participation in decisions over sustainable resource use, a central message of Agenda 21. It would have to foster commercial markets with a longer-term view, targeting sustainable production and consumption, ethical international relations and sound",6,SUGGEST_ACCEPT,PENDING,,Substantiation/References,Draft memo: paragraph contains transparency language and discusses institutional design/coordination; confirm conceptual alignment with the theme definition.,,Pilot Pass 1 (seed-only),1074886df7,Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective,,
stage2_pass1_20260125T232013Z,P1K000008, Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,22,Participation,keyword,,"citizen movement is required; but this ethic remains hard to define and promote. Such an ethic would need to be based on widespread public **participation** in decisions over sustainable resource use, a central message of Agenda 21. It would have to foster commercial markets with a longer-term view, targeting sustainable production and consumption, ethical international relations and sound","4 Governance for Sustainable Development In order to address such challenges, WHAT established three special commissions, aptly named the WHAT commissions, to examine the current institutional frameworks of three natural resource topics: water, biodiversity and agriculture, and fisheries. A varied group of international academics, scientists and political analysts gathered together and were asked to assess to what degree the governance systems within these sectors supported or restricted the sustainable utilization of natural resources. They were further invited to propose mechanisms to enhance the governance frameworks. The final results of the three working commissions were presented in a single report in 2000, Governance for a Sustainable Future. Many of the barriers to good governance are probably just as relevant now as they were when the report was first published (see Box 1.1). Governance for a Sustainable Future (WHAT, 2000) makes a series of recommendations for strengthening the global governance architecture and for enhancing the national governance of natural resources (see Box 1.2). Perhaps the most critical recommendation of the report is a twofold requirement: the urgent need for greatly enhanced horizontal and vertical mechanisms of governance. The report noted that institutions at the same level (local, national and international) continue to work in their sectoral silos without adequately taking into account the areas where their work interlinks and impacts on other sectors. This silo mentality undermines the sustainable management of resources, which requires a joined-up or integrated management approach, and necessitates the involvement of a range of institutions and interest groups for their effective use, protection and improvement. Similarly, the report argues that overtly ‘vertical’ governance systems continue to adopt a predominately top-down system of decision-making without allowing mechanisms of feedback and learning from the ‘bottom’ or local level. It calls for greater emphasis on drawing from local experiences and the local impacts of global and national policies, as well as enabling more flexible and locally appropriate interpretation of those decisions. Globally Governance for a Sustainable Future (WHAT, 2000) identifies the lack of democratic frameworks in key international institutions, including the International Monetary Fund (IMF), the World Bank, the World Trade Organization (WTO) and other bodies, such as the Organisation for Economic Co-operation and Development (OECD). It calls for an increase in their transparency and strengthening of the democratic frameworks, and urges these bodies to take greater account of the social and environmental implications of their policy-making. It argues for greater coordination across policy areas, as well as better enforcement of non-economic international treaties, such as the Multilateral Environmental Agreements (MEAs). It notes the heavy domination of Western policy-makers and economic paradigms that fail to take account of the complex problems of natural resource management or support for sustainable solutions. A new global ethic and citizen movement is required; but this ethic remains hard to define and promote. Such an ethic would need to be based on widespread public **participation** in decisions over sustainable resource use, a central message of Agenda 21. It would have to foster commercial markets with a longer-term view, targeting sustainable production and consumption, ethical international relations and sound",6,SUGGEST_ACCEPT,PENDING,,Substantiation/References,Draft memo: paragraph contains participation language and discusses institutional design/coordination; confirm conceptual alignment with the theme definition.,,Pilot Pass 1 (seed-only),1074886df7,Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective,,
stage2_pass1_20260125T232013Z,P1K000009, Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,25,Accountability,keyword,,"rk Convention on Climate Change (UNFCCC) and the United Nations Convention on the Non-navigational Use of Water. It calls for enhancing the **accountability** of the UN through establishing a second chamber or ... People’s Assembly, which brings together a wide representation of civil society to enable a more bottom-up view when addressing ‘global commons’ issues. • Rethink the global market system: there is a need to ph","Introduction: Setting the Scene 7 Box 1.2 Governance recommendations Global reform • Global institutional framework: Governance for a Sustainable Future (WHAT, 2000) encourages joined-up policy-making and mainstreaming of sustainable resource management, the protection of workers’ rights and environmental protection in key institutions such as the World Trade Organization (WTO), the World Bank and the International Monetary Fund (IMF). It calls for a strengthening of the United Nations Environment Programme (UNEP) and increasing environmental finance – for example, via the Global Environment Facility (GEF). In addition, it calls on governments, with support from across society, to ratify and implement existing global environmental agreements, such as the Kyoto Protocol to the United Nations Framework Convention on Climate Change (UNFCCC) and the United Nations Convention on the Non-navigational Use of Water. It calls for enhancing the **accountability** of the UN through establishing a second chamber or People’s Assembly, which brings together a wide representation of civil society to enable a more bottom-up view when addressing ‘global commons’ issues. • Rethink the global market system: there is a need to phase out distorting subsidies that encourage unsustainable harvesting. The perverse subsidy systems in developed countries are crippling countries in sub-Saharan Africa, as well as elsewhere in the developing world. Enhanced market operations to better include environmental and social goods and services with economic systems are also required. In addition, strengthening the regulation of global competition, as well as international tax-gathering and inspection systems, is required in order to encourage the effective regulation and functioning of international trade. Governance for a Sustainable Future also calls for the establishment of a global regulatory framework for the operation of transnational corporations, with global standards on the environment and on social and economic behaviour. • New development models: Governance for a Sustainable Future calls for a move away from the Western model of industrial development, taking full account of the need for sustainable resource use and ecological constraints throughout the programmes and policies of international agencies. In addition, it highlights the need for a better understanding of local circumstances and priorities in all countries, as well as for more effective partnerships between countries and across regions – addressing the links between rural and urban areas. • Improved international management: enhancing the transboundary management of water resources and other regional and global commons. This includes spreading good practice experiences, establishing a large sustainable development fund to support the transition to sustainable technologies, and governance and resource management in the South and in transitional economies. • Ownership access and common property rights: seeking more equitable distribution and allocation of rights of access and sustainable use of resources such as",4,SUGGEST_REVIEW,PENDING,,Explanation/Elaboration,Draft memo: paragraph contains accountability language and discusses institutional design/coordination; confirm conceptual alignment with the theme definition.,,Pilot Pass 1 (seed-only),1074886df7,Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective,,
