stoplist_category,term,rationale
artifact_word,downloaded,Removed because commonly appears in PDF boilerplate / copyright metadata and generates systematic noise.
artifact_word,free,Removed because commonly appears in PDF boilerplate / copyright metadata and generates systematic noise.
artifact_word,copyright,Removed because commonly appears in PDF boilerplate / copyright metadata and generates systematic noise.
artifact_word,rights reserved,Removed because commonly appears in PDF boilerplate / copyright metadata and generates systematic noise.
artifact_word,issn,Removed because commonly appears in PDF boilerplate / copyright metadata and generates systematic noise.
artifact_word,isbn,Removed because commonly appears in PDF boilerplate / copyright metadata and generates systematic noise.
artifact_word,doi,Removed because commonly appears in PDF boilerplate / copyright metadata and generates systematic noise.
artifact_word,www,Removed because commonly appears in PDF boilerplate / copyright metadata and generates systematic noise.
artifact_word,http,Removed because commonly appears in PDF boilerplate / copyright metadata and generates systematic noise.
artifact_word,permission,Removed because commonly appears in PDF boilerplate / copyright metadata and generates systematic noise.
artifact_word,publisher,Removed because commonly appears in PDF boilerplate / copyright metadata and generates systematic noise.
artifact_word,wiley,Removed because commonly appears in PDF boilerplate / copyright metadata and generates systematic noise.
artifact_word,springer,Removed because commonly appears in PDF boilerplate / copyright metadata and generates systematic noise.
artifact_word,taylor,Removed because commonly appears in PDF boilerplate / copyright metadata and generates systematic noise.
artifact_word,francis,Removed because commonly appears in PDF boilerplate / copyright metadata and generates systematic noise.
artifact_word,elsevier,Removed because commonly appears in PDF boilerplate / copyright metadata and generates systematic noise.
excluded_name,abbott,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,snidal,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,biermann,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,ostrom,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,young,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,barnett,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,finnemore,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,keohane,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,nye,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,krippendorff,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,saldana,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,saldaña,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,grimmer,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,stewart,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,nelson,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,mayring,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,bryman,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,braun,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,clarke,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,thomas,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,harden,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,nowell,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,tranfield,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,denyer,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,smart,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,gläser,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,laudel,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,conca,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,ivanova,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,berliner,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,wirtz,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,weyerer,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,geyer,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,pattberg,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,zelli,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,eikeset,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,bennett,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,henning,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,eilstrup,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,westerwinter,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,page,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,snyder,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
excluded_name,bowen,Removed because author names and citations are not conceptual synonyms and inflate false positives in dictionary expansion.
