parent_theme_id,parent_theme_label,candidate_term,candidate_term_norm,candidate_score,pilot_docfreq,stem_score,name_noise_flag,candidate_source
TH001,Fragmentation,conﬂictive,conﬂictive,5.7152529078347225,1,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,geopolitics,geopolitics,5.7152529078347225,1,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,options paper,options paper,5.7152529078347225,1,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,chairs options,chairs options,5.463864542400362,1,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,chairs options paper,chairs options paper,5.463864542400362,1,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,subcommittee,subcommittee,5.463864542400362,1,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,nilsson persson,nilsson persson,5.463864542400362,1,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,igo mainstreaming,igo mainstreaming,5.463864542400362,1,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,development climate,development climate,5.463864542400362,0,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,acc subcommittee,acc subcommittee,5.463864542400362,1,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,ﬁrst step,ﬁrst step,5.463864542400362,2,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,clustering existing,clustering existing,5.463864542400362,2,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,focus public,focus public,5.127318374091995,1,1,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,mirrors complexity,mirrors complexity,5.127318374091995,0,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,conﬂicting norms,conﬂicting norms,5.127318374091995,1,1,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,organization kenen,organization kenen,5.127318374091995,0,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,bodies agencies,bodies agencies,5.127318374091995,0,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,approach enhance,approach enhance,5.127318374091995,0,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,sectoralisation,sectoralisation,5.127318374091995,1,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,framework analysis,framework analysis,5.127318374091995,0,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,debock,debock,5.127318374091995,1,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,debock fergusson,debock fergusson,5.127318374091995,0,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,initially created,initially created,5.127318374091995,2,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,like world,like world,5.127318374091995,0,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,deﬁcit,deﬁcit,5.127318374091995,2,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,organization kenen ed,organization kenen ed,5.127318374091995,0,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,possible explanations,possible explanations,5.127318374091995,2,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,global governance architectures,global governance architectures,5.127318374091995,1,1,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,allocations funding,allocations funding,5.127318374091995,1,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,acc subcommittee water,acc subcommittee water,5.127318374091995,0,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,practices mainstream,practices mainstream,5.127318374091995,0,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,environmental policies developing,environmental policies developing,5.127318374091995,0,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,environment security initiative,environment security initiative,5.127318374091995,0,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,environmental organization kenen,environmental organization kenen,5.127318374091995,0,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,adaptation problems,adaptation problems,5.127318374091995,1,1,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,institutional incoherence,institutional incoherence,5.127318374091995,2,2,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,environmental mechanism gem,environmental mechanism gem,5.127318374091995,1,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,adaptation governance emerging,adaptation governance emerging,5.127318374091995,0,2,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,meets problems,meets problems,5.127318374091995,1,0,False,pilot_logodds_distinctive_ngram
TH001,Fragmentation,mainstreaming climate adaptation,mainstreaming climate adaptation,5.127318374091995,1,1,False,pilot_logodds_distinctive_ngram
TH002,Norms,ingo networks,ingo networks,5.513840221760001,1,1,False,pilot_logodds_distinctive_ngram
TH002,Norms,compact participation,compact participation,5.0511082046398155,1,1,False,pilot_logodds_distinctive_ngram
TH002,Norms,global compact participation,global compact participation,4.925923364063868,1,1,False,pilot_logodds_distinctive_ngram
TH002,Norms,rules strategies,rules strategies,4.78280082327203,0,1,False,pilot_logodds_distinctive_ngram
TH002,Norms,igo ingo networks,igo ingo networks,4.78280082327203,0,1,False,pilot_logodds_distinctive_ngram
TH002,Norms,support program,support program,4.615725041928455,1,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,non binding,non binding,4.615725041928455,3,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,norm governors,norm governors,4.615725041928455,1,2,False,pilot_logodds_distinctive_ngram
TH002,Norms,development guiding principles,development guiding principles,4.615725041928455,0,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,conﬂicting,conﬂicting,4.615725041928455,3,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,principles displacement,principles displacement,4.615725041928455,0,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,guiding principles displacement,guiding principles displacement,4.615725041928455,0,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,human rights violations,human rights violations,4.415032650256631,3,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,inactive,inactive,4.415032650256631,1,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,network development guiding,network development guiding,4.415032650256631,0,1,False,pilot_logodds_distinctive_ngram
TH002,Norms,navigating,navigating,4.415032650256631,2,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,norm program,norm program,4.415032650256631,1,1,False,pilot_logodds_distinctive_ngram
TH002,Norms,non communicating,non communicating,4.415032650256631,1,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,world charter nature,world charter nature,4.415032650256631,0,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,charter nature,charter nature,4.415032650256631,0,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,embeddedness igo,embeddedness igo,4.415032650256631,0,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,ngo networks,ngo networks,4.415032650256631,1,1,False,pilot_logodds_distinctive_ngram
TH002,Norms,network development,network development,4.415032650256631,0,1,False,pilot_logodds_distinctive_ngram
TH002,Norms,world charter,world charter,4.415032650256631,1,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,rights violations,rights violations,4.415032650256631,3,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,conﬂictive,conﬂictive,4.415032650256631,1,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,norm programs,norm programs,4.415032650256631,1,1,False,pilot_logodds_distinctive_ngram
TH002,Norms,dahl,dahl,4.415032650256631,1,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,earth charter,earth charter,4.3382428304257274,1,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,actors expectations,actors expectations,4.163696526236768,2,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,administrative functions performed,administrative functions performed,4.163696526236768,0,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,norm corporate responsibility,norm corporate responsibility,4.163696526236768,0,1,False,pilot_logodds_distinctive_ngram
TH002,Norms,commitment compliance role,commitment compliance role,4.163696526236768,0,1,False,pilot_logodds_distinctive_ngram
TH002,Norms,international ngo networks,international ngo networks,4.163696526236768,1,1,False,pilot_logodds_distinctive_ngram
TH002,Norms,international ngo,international ngo,4.163696526236768,1,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,ed commitment compliance,ed commitment compliance,4.163696526236768,0,1,False,pilot_logodds_distinctive_ngram
TH002,Norms,ed commitment,ed commitment,4.163696526236768,2,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,governance entails,governance entails,4.163696526236768,1,1,False,pilot_logodds_distinctive_ngram
TH002,Norms,norm corporate,norm corporate,4.163696526236768,0,1,False,pilot_logodds_distinctive_ngram
TH002,Norms,associated global compact,associated global compact,4.163696526236768,0,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,joining program,joining program,4.163696526236768,1,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,gold standard,gold standard,4.163696526236768,1,0,False,pilot_logodds_distinctive_ngram
TH002,Norms,scholars studying,scholars studying,4.163696526236768,1,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,recruitment merit,recruitment merit,4.941100608729741,0,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,science remains,science remains,4.941100608729741,1,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,politically insulated,politically insulated,4.797977768696475,1,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,policy analytic,policy analytic,4.797977768696475,1,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,recruitment national quotas,recruitment national quotas,4.797977768696475,0,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,national quotas,national quotas,4.797977768696475,1,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,capable generating,capable generating,4.630901688124547,0,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,politically insulated wall,politically insulated wall,4.630901688124547,1,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,usable knowledge knowledge,usable knowledge knowledge,4.630901688124547,1,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,insulated wall,insulated wall,4.630901688124547,1,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,claims developed politically,claims developed politically,4.630901688124547,0,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,developed politically,developed politically,4.630901688124547,0,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,claims developed,claims developed,4.630901688124547,0,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,expertise claims,expertise claims,4.630901688124547,0,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,expertise claims developed,expertise claims developed,4.630901688124547,0,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,representativeness,representativeness,4.630901688124547,2,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,science remains influential,science remains influential,4.630901688124547,1,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,decision makers practice,decision makers practice,4.630901688124547,0,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,influential expertise,influential expertise,4.630901688124547,0,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,influential expertise claims,influential expertise claims,4.630901688124547,0,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,developed politically insulated,developed politically insulated,4.630901688124547,0,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,remains influential,remains influential,4.630901688124547,1,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,suggests science remains,suggests science remains,4.630901688124547,0,0,False,pilot_logodds_distinctive_ngram
TH003,Legitimacy,remains influential expertise,remains influential expertise,4.630901688124547,0,0,False,pilot_logodds_distinctive_ngram
