doc_id,igo_id,igo_name,doc_family,doc_type,filename,local_path,file_ext,file_bytes,sha256,bundle_relpath,source_url,access_date,extraction_method,page_count,pages_with_text,empty_pages,pct_pages_with_text,page_load_errors,extraction_quality_flag,source_note
DOC_0001,isa,International Seabed Authority,Foundational / legal,Agreement,Agreement-relating-to-the-imp-of-Part-XI-of-UNCLOS.pdf,/mnt/data/Agreement-relating-to-the-imp-of-Part-XI-of-UNCLOS.pdf,.pdf,3540184,7a38037f1217f7869491bc648e38633a65157ea449bf7c611db94eefc0870d92,data/raw/igo_documents/Agreement-relating-to-the-imp-of-Part-XI-of-UNCLOS.pdf,,,pymupdf_text,130.0,0.0,130.0,0.0,130.0,low_text_density|page_load_errors,Provided (local copy)
DOC_0002,ifad,International Fund for Agricultural Development (IFAD),Foundational / legal,Agreement,Agreement_IFAD.pdf,/mnt/data/Agreement_IFAD.pdf,.pdf,694212,b74072052a2c433988e869cd14517f3d2ecc1e43a28758a299647b3bc0ca3e3c,data/raw/igo_documents/Agreement_IFAD.pdf,,,pymupdf_text,29.0,28.0,1.0,0.9655,0.0,ok,Provided (local copy)
DOC_0003,brs,"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",Foundational / legal,Convention / treaty,BRS Convention.pdf,/mnt/data/BRS Convention.pdf,.pdf,138889,6d411ee57726f03a03b3509027d191271024fb875618fd7e8d4da534823baf5f,data/raw/igo_documents/BRS Convention.pdf,,,pymupdf_text,12.0,12.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0004,cbd,Secretariat of the Convention on Biological Diversity (CBD),Foundational / legal,Convention / treaty,CBD Convention.pdf,/mnt/data/CBD Convention.pdf,.pdf,4551079,9acd3886bfb0b3c3a4d75b254b53dd4ab084d7ad59915f09f03bbe92cdc75517,data/raw/igo_documents/CBD Convention.pdf,,,pymupdf_text,36.0,34.0,2.0,0.9444,0.0,ok,Provided (local copy)
DOC_0005,cites,Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),Foundational / legal,Convention / treaty,CITES-Convention-EN.pdf,/mnt/data/CITES-Convention-EN.pdf,.pdf,80367,02cc613103111642367658255552b5d504de466f8f7602177b9f42f96e47d927,data/raw/igo_documents/CITES-Convention-EN.pdf,,,pymupdf_text,16.0,15.0,1.0,0.9375,0.0,ok,Provided (local copy)
DOC_0006,iom,International Organization for Migration (IOM),Foundational / legal,Constitution,Constitution of the International Organization for Migration (1953; rev. 1989).pdf,/mnt/data/Constitution of the International Organization for Migration (1953; rev. 1989).pdf,.pdf,609027,2f61eee6f11bc285f35e63d09e98aaf15aed3e8be82419ff3aed1c4661c61507,data/raw/igo_documents/Constitution of the International Organization for Migration (1953; rev. 1989).pdf,,,pymupdf_text,84.0,70.0,14.0,0.8333,0.0,ok,Provided (local copy)
DOC_0007,itu,International Telecommunication Union (ITU),Foundational / legal,Constitution,Constitution of the ITU.pdf,/mnt/data/Constitution of the ITU.pdf,.pdf,252544,e737c962504357370a05ad486d6d590ce190e3e5167d4cd32b23ca1be328b83e,data/raw/igo_documents/Constitution of the ITU.pdf,,,pymupdf_text,66.0,65.0,1.0,0.9848,0.0,ok,Provided (local copy)
DOC_0008,itu,International Telecommunication Union (ITU),Foundational / legal,Convention / treaty,Convention ITU.pdf,/mnt/data/Convention ITU.pdf,.pdf,340380,c180919b634e4cea59dfa7b8af1460dbb1660b07d3756e6208d7769aa561ce18,data/raw/igo_documents/Convention ITU.pdf,,,pymupdf_text,90.0,89.0,1.0,0.9889,0.0,ok,Provided (local copy)
DOC_0009,cms,Secretariat of the Convention on Migratory Species (CMS),Foundational / legal,Convention / treaty,Convention on the Conservation of Migratory Species of Wild Animals.PDF,/mnt/data/Convention on the Conservation of Migratory Species of Wild Animals.PDF,.pdf,29985,76365426795274a3351b8b7ab61bc0ca494a7f0a9a2ed74284215fe754dc16f6,data/raw/igo_documents/Convention on the Conservation of Migratory Species of Wild Animals.PDF,,,pymupdf_text,6.0,6.0,0.0,1.0,0.0,ok,Provided (local copy)
DOC_0010,iho,International Hydrographic Organization (IHO),Foundational / legal,Convention / treaty,Convention_IHO.pdf,/mnt/data/Convention_IHO.pdf,.pdf,368702,f89d60726dbc7cbb57b6e0e49e7a3d75fe634745b5722f2e423c3d496e499575,data/raw/igo_documents/Convention_IHO.pdf,,,pymupdf_text,14.0,13.0,1.0,0.9286,0.0,ok,Provided (local copy)
