para_id,doc_id,page_number,para_index_on_page,para_char_count,para_text
DOC_0002_P0001_01,DOC_0002,1,1,102,"AGREEMENT ESTABLISHING IFAD
Agreement
Establishing
the
International
Fund for
Agricultural
Development"
DOC_0002_P0002_01,DOC_0002,2,1,1,2
DOC_0002_P0002_02,DOC_0002,2,2,27,AGREEMENT ESTABLISHING IFAD
DOC_0002_P0002_03,DOC_0002,2,3,1160,"TABLE OF CONTENTS
Article 1
7
DEFINITIONS
7
Article 2
7
OBJECTIVE AND FUNCTIONS
7
Article 3
8
MEMBERSHIP
8
Section 1 – Eligibility for Membership
8
Section 2 – Original Members and Non-Original Members
8
Section 3 – Limitation of Liability
8
Article 4
8
RESOURCES
8
Section 1 - Resources of the Fund
8
Section 2 - Initial Contributions
8
Section 3 - Additional Contributions
9
Section 4 - Increases in Contributions
9
Section 5 - Conditions Governing Contributions
9
Section 6 - Special Contributions
9
Section 7 - Borrowing Activities
10
Article 5
10
CURRENCIES
10
Section 1 – Use of Currencies
10
Section 2 – Valuation of Currencies
10
Article 6
10
ORGANIZATION AND MANAGEMENT
10
Section 1 – Structure of the Fund
10
Section 2 - The Governing Council
11
Section 3 - Voting in the Governing Council
11
Section 4 - Chairman of the Governing Council
12
Section 5 - Executive Board
12
Section 6 - Voting in the Executive Board
13
Section 7 - Chairman of the Executive Board
13
Section 8 - President and Staff
13
Section 9 - Seat of the Fund
14
Section 10 - Administrative Budget
14
Section 11 - Publication of Reports and Provision of Information
14
Article 7
14"
DOC_0002_P0003_01,DOC_0002,3,1,1,3
DOC_0002_P0003_02,DOC_0002,3,2,27,AGREEMENT ESTABLISHING IFAD
DOC_0002_P0003_03,DOC_0002,3,3,1221,"OPERATIONS
14
Section 1 - Use of Resources and Conditions of Financing
14
Section 2 - Forms and Terms of Financing
15
Section 3 - Miscellaneous Operations
16
Article 8
16
RELATIONS WITH THE UNITED NATIONS AND WITH OTHER
ORGANIZATIONS, INSTITUTIONS AND AGENCIES
16
Section 1 - Relations with the United Nations
16
Section 2 - Relations with other Organizations, Institutions and Agencies
16
Article 9
16
WITHDRAWAL, SUSPENSION OF MEMBERSHIP, TERMINATION OF
OPERATIONS
16
Section 1 - Withdrawal
16
Section 2 - Suspension of Membership
17
Section 3 - Rights and Duties of States Ceasing to be Members
17
Section 4 - Termination of Operations and Distribution of Assets
17
Article 10
17
LEGAL STATUS, PRIVILEGES AND IMMUNITIES
17
Section 1 - Legal Status
17
Section 2 - Privileges and Immunities
17
Article 11
18
INTERPRETATION AND ARBITRATION
18
Section 1 - Interpretation
18
Section 2 - Arbitration
18
Article 12
19
AMENDMENTS
19
Article 13
19
FINAL CLAUSES
19
Section 1 - Signature, Ratification, Acceptance, Approval and Accession
19
Section 2 - Depositary
20
Section 3 - Entry into Force
20
Section 4 - Reservations
20
Section 5 - Authoritative Texts
20
Schedule I
21
PART 1
21
STATES ELIGIBLE FOR ORIGINAL MEMBERSHIP
21"
DOC_0002_P0004_01,DOC_0002,4,1,1,4
DOC_0002_P0004_02,DOC_0002,4,2,479,"AGREEMENT ESTABLISHING IFAD
PART II
22
PLEDGES OF INITIAL CONTRIBUTIONS
22
Schedule II
24
DISTRIBUTION OF VOTES AND ELECTION OF EXECUTIVE BOARD
MEMBERS
24
A.
ELECTION OF MEMBERS OF THE EXECUTIVE BOARD AND THEIR
ALTERNATES
25
Part I - List A Member Countries
25
Part II - List B Member Countries
25
Part III - List C Member Countries
25
B.
GENERAL PROVISIONS APPLICABLE TO LIST A, B, AND C
26
Schedule III
28
DISTRIBUTION OF MEMBER STATES AMONG CATEGORIES AS AT 26
JANUARY 1995
28"
DOC_0002_P0005_01,DOC_0002,5,1,1,5
