doc_id,filename,extraction_method,page_count,pages_with_text,empty_pages,pct_pages_with_text,page_load_errors,quality_flag
DOC_0001,Agreement-relating-to-the-imp-of-Part-XI-of-UNCLOS.pdf,pymupdf_text,130.0,0.0,130.0,0.0,130.0,low_text_density|page_load_errors
DOC_0002,Agreement_IFAD.pdf,pymupdf_text,29.0,28.0,1.0,0.9655,0.0,ok
DOC_0003,BRS Convention.pdf,pymupdf_text,12.0,12.0,0.0,1.0,0.0,ok
DOC_0004,CBD Convention.pdf,pymupdf_text,36.0,34.0,2.0,0.9444,0.0,ok
DOC_0005,CITES-Convention-EN.pdf,pymupdf_text,16.0,15.0,1.0,0.9375,0.0,ok
DOC_0006,Constitution of the International Organization for Migration (1953; rev. 1989).pdf,pymupdf_text,84.0,70.0,14.0,0.8333,0.0,ok
DOC_0007,Constitution of the ITU.pdf,pymupdf_text,66.0,65.0,1.0,0.9848,0.0,ok
DOC_0008,Convention ITU.pdf,pymupdf_text,90.0,89.0,1.0,0.9889,0.0,ok
DOC_0009,Convention on the Conservation of Migratory Species of Wild Animals.PDF,pymupdf_text,6.0,6.0,0.0,1.0,0.0,ok
DOC_0010,Convention_IHO.pdf,pymupdf_text,14.0,13.0,1.0,0.9286,0.0,ok
DOC_0011,FAO Basic Text.pdf,pymupdf_text,245.0,224.0,21.0,0.9143,0.0,ok
DOC_0012,IAEA Statute.pdf,pymupdf_text,77.0,76.0,1.0,0.987,0.0,ok
DOC_0013,ICES_Convention_1964.pdf,pymupdf_text,4.0,4.0,0.0,1.0,0.0,ok
DOC_0014,IHO Basic document.pdf,pymupdf_text,89.0,73.0,16.0,0.8202,0.0,ok
DOC_0015,ILO Constitution.pdf,pymupdf_text,44.0,40.0,4.0,0.9091,0.0,ok
DOC_0016,IMF article of agreement.pdf,pymupdf_text,136.0,128.0,8.0,0.9412,0.0,ok
DOC_0017,IMO Convention.pdf,pymupdf_text,102.0,93.0,9.0,0.9118,0.0,ok
DOC_0018,International Seabed Authority.pdf,pymupdf_text,16.0,16.0,0.0,1.0,0.0,ok
DOC_0019,IOC Statute.pdf,pymupdf_text,41.0,41.0,0.0,1.0,0.0,ok
DOC_0020,IPCC Principles and Procedures.pdf,pymupdf_text,12.0,12.0,0.0,1.0,0.0,ok
DOC_0021,IPCC — Founding WMO:UNEP resolution(s).pdf,pymupdf_text,5.0,5.0,0.0,1.0,0.0,ok
DOC_0022,ITC_ GENERAL AGREEMENT TARIFFS AND TRADE.pdf,pymupdf_text,15.0,15.0,0.0,1.0,0.0,ok
DOC_0023,Minamata-Convention-booklet-Sep2019-EN.pdf,pymupdf_text,72.0,61.0,11.0,0.8472,0.0,ok
DOC_0024,OECD Convention.pdf,pymupdf_text,14.0,14.0,0.0,1.0,0.0,ok
DOC_0025,Operating PRincinples of IPBES.pdf,pymupdf_text,7.0,7.0,0.0,1.0,0.0,ok
DOC_0026,Ramsar COnvention.pdf,pymupdf_text,116.0,114.0,2.0,0.9828,0.0,ok
DOC_0027,Rules of procedure_UNCTAD.pdf,pymupdf_text,135.0,128.0,7.0,0.9481,0.0,ok
DOC_0028,Statute of the Office of the UN High Commissioner for Refugees.pdf,pymupdf_text,16.0,14.0,2.0,0.875,0.0,ok
DOC_0029,UN DAOLOS.pdf,pymupdf_text,9.0,9.0,0.0,1.0,0.0,ok
DOC_0030,UN General Assembly resolution creating UNICEF.pdf,pymupdf_text,6.0,6.0,0.0,1.0,0.0,ok
DOC_0031,UN Global Compact.pdf,pymupdf_text,40.0,38.0,2.0,0.95,0.0,ok
DOC_0032,UN Population Fund Resolution.pdf,pymupdf_text,2.0,0.0,2.0,0.0,0.0,low_text_density
DOC_0033,UN Women Resolution.pdf,pymupdf_text,14.0,14.0,0.0,1.0,0.0,ok
DOC_0034,UNCCD_Convention_ENG_0_0.pdf,pymupdf_text,56.0,54.0,2.0,0.9643,0.0,ok
DOC_0035,UNCTAD Resolution.pdf,pymupdf_text,5.0,5.0,0.0,1.0,0.0,ok
DOC_0036,UNDP — UN General Assembly establishing resolution.pdf,pymupdf_text,2.0,2.0,0.0,1.0,0.0,ok
DOC_0037,UNDRR Resolution.pdf,pymupdf_text,12.0,12.0,0.0,1.0,0.0,ok
